timestamp_begin_et,timestamp_end_et,ZONE G,ZONE F,ZONE E,ZONE A,ZONE B,ZONE C,ZONE D,ZONE H,ZONE I,ZONE K,ZONE J,System Total
2021-01-02 21:00:00,2021-01-02 22:00:00,1006.00,1347,943,1661,1110,1897,665,344.00,603.00,2034.00,5075.00,16685
2021-01-02 22:00:00,2021-01-02 23:00:00,1108.00,1465,992,1727,1174,1945,673,369.00,641.00,2266.00,5233.00,17593
2021-01-02 23:00:00,2021-01-03 00:00:00,1211.00,1554,1041,1814,1234,2021,691,400.00,691.00,2523.00,5449.00,18629
2021-01-03 00:00:00,2021-01-03 01:00:00,1215.00,1526,1032,1803,1221,1994,687,400.00,695.00,2538.00,5480.00,18591
2021-01-03 01:00:00,2021-01-03 02:00:00,1188.00,1485,1011,1775,1187,1954,671,397.00,686.00,2478.00,5429.00,18261
2021-01-03 02:00:00,2021-01-03 03:00:00,1157.00,1436,980,1752,1150,1900,662,391.00,675.00,2406.00,5343.00,17852
2021-01-03 03:00:00,2021-01-03 04:00:00,1114.00,1382,942,1702,1107,1835,647,380.00,655.00,2310.00,5225.00,17299
2021-01-03 04:00:00,2021-01-03 05:00:00,1059.00,1303,893,1628,1050,1753,634,354.00,624.00,2176.00,5049.00,16523
2021-01-03 05:00:00,2021-01-03 06:00:00,1000.00,1245,845,1544,997,1670,630,326.00,593.00,2024.00,4831.00,15705
2021-01-03 06:00:00,2021-01-03 07:00:00,949.00,1189,810,1468,950,1621,631,299.00,557.00,1887.00,4626.00,14987
2021-01-03 07:00:00,2021-01-03 08:00:00,915.00,1163,784,1434,922,1591,624,288.00,545.00,1790.00,4451.00,14507
2021-01-03 08:00:00,2021-01-03 09:00:00,893.00,1164,771,1411,909,1574,617,287.00,529.00,1741.00,4341.00,14237
2021-01-03 09:00:00,2021-01-03 10:00:00,887.00,1158,762,1402,902,1564,607,285.00,521.00,1708.00,4273.00,14069
2021-01-03 10:00:00,2021-01-03 11:00:00,890.00,1154,766,1403,907,1574,611,286.00,522.00,1708.00,4243.00,14064
2021-01-03 11:00:00,2021-01-03 12:00:00,906.00,1175,786,1427,927,1597,614,297.00,530.00,1744.00,4292.00,14295
2021-01-03 12:00:00,2021-01-03 13:00:00,934.00,1200,817,1457,957,1660,622,305.00,544.00,1791.00,4385.00,14672
2021-01-03 13:00:00,2021-01-03 14:00:00,973.00,1238,862,1499,998,1697,627,315.00,561.00,1855.00,4499.00,15124
2021-01-03 14:00:00,2021-01-03 15:00:00,1017.00,1277,908,1535,1038,1740,640,335.00,586.00,1952.00,4680.00,15708
2021-01-03 15:00:00,2021-01-03 16:00:00,1081.00,1341,951,1592,1086,1794,650,361.00,614.00,2084.00,4908.00,16462
2021-01-03 16:00:00,2021-01-03 17:00:00,1135.00,1393,969,1642,1130,1862,652,381.00,640.00,2204.00,5138.00,17146
2021-01-03 17:00:00,2021-01-03 18:00:00,1160.00,1428,991,1683,1162,1916,657,396.00,654.00,2256.00,5281.00,17584
2021-01-03 18:00:00,2021-01-03 19:00:00,1186.00,1440,1004,1705,1185,1962,662,405.00,672.00,2318.00,5371.00,17910
2021-01-03 19:00:00,2021-01-03 20:00:00,1204.00,1455,1000,1674,1176,1977,663,414.00,684.00,2364.00,5439.00,18050
2021-01-03 20:00:00,2021-01-03 21:00:00,1195.00,1470,997,1658,1165,1992,659,418.00,688.00,2412.00,5478.00,18132
2021-01-03 21:00:00,2021-01-03 22:00:00,1208.00,1494,1012,1666,1169,2008,666,426.00,691.00,2451.00,5527.00,18318
2021-01-03 22:00:00,2021-01-03 23:00:00,1265.00,1569,1051,1727,1220,2064,683,443.00,717.00,2587.00,5640.00,18966
2021-01-03 23:00:00,2021-01-04 00:00:00,1318.00,1626,1099,1830,1274,2127,684,467.00,746.00,2725.00,5753.00,19649
2021-01-04 00:00:00,2021-01-04 01:00:00,1296.00,1596,1090,1817,1249,2093,679,467.00,744.00,2679.00,5736.00,19446
2021-01-04 01:00:00,2021-01-04 02:00:00,1255.00,1537,1064,1778,1207,2037,679,450.00,725.00,2588.00,5642.00,18962
2021-01-04 02:00:00,2021-01-04 03:00:00,1200.00,1478,1014,1737,1163,1956,670,429.00,701.00,2495.00,5539.00,18382
2021-01-04 03:00:00,2021-01-04 04:00:00,1147.00,1397,958,1683,1110,1864,650,389.00,671.00,2361.00,5376.00,17606
2021-01-04 04:00:00,2021-01-04 05:00:00,1071.00,1316,906,1609,1048,1754,638,358.00,630.00,2183.00,5131.00,16644
2021-01-04 05:00:00,2021-01-04 06:00:00,995.00,1254,848,1540,997,1673,623,336.00,585.00,2003.00,4867.00,15721
2021-01-04 06:00:00,2021-01-04 07:00:00,944.00,1204,810,1489,959,1641,612,306.00,552.00,1858.00,4639.00,15014
2021-01-04 07:00:00,2021-01-04 08:00:00,909.00,1181,792,1459,936,1614,605,295.00,538.00,1778.00,4473.00,14580
2021-01-04 08:00:00,2021-01-04 09:00:00,894.00,1183,770,1451,926,1590,611,292.00,531.00,1726.00,4361.00,14335
2021-01-04 09:00:00,2021-01-04 10:00:00,890.00,1199,772,1444,930,1581,606,294.00,523.00,1713.00,4320.00,14272
2021-01-04 10:00:00,2021-01-04 11:00:00,904.00,1201,801,1476,953,1633,619,295.00,531.00,1750.00,4354.00,14517
2021-01-04 11:00:00,2021-01-04 12:00:00,942.00,1258,851,1546,1012,1719,633,313.00,554.00,1855.00,4528.00,15211
2021-01-04 12:00:00,2021-01-04 13:00:00,1011.00,1373,939,1662,1103,1878,645,350.00,596.00,2034.00,4901.00,16492
2021-01-04 13:00:00,2021-01-04 14:00:00,1078.00,1447,998,1755,1179,1995,664,389.00,647.00,2210.00,5305.00,17667
2021-01-04 14:00:00,2021-01-04 15:00:00,1131.00,1461,1021,1792,1209,2035,670,401.00,681.00,2294.00,5631.00,18326
2021-01-04 15:00:00,2021-01-04 16:00:00,1158.00,1475,1027,1821,1224,2065,673,397.00,692.00,2329.00,5760.00,18621
2021-01-04 16:00:00,2021-01-04 17:00:00,1154.00,1488,1031,1835,1238,2080,671,400.00,682.00,2248.00,5787.00,18614
2021-01-04 17:00:00,2021-01-04 18:00:00,1149.00,1486,1036,1845,1246,2089,673,393.00,678.00,2172.00,5786.00,18553
2021-01-04 18:00:00,2021-01-04 19:00:00,1158.00,1471,1031,1838,1244,2087,670,384.00,679.00,2101.00,5794.00,18457
2021-01-04 19:00:00,2021-01-04 20:00:00,1153.00,1452,1024,1844,1244,2086,663,388.00,689.00,2121.00,5851.00,18515
2021-01-04 20:00:00,2021-01-04 21:00:00,1150.00,1441,1021,1844,1245,2073,659,402.00,699.00,2219.00,5902.00,18655
2021-01-04 21:00:00,2021-01-04 22:00:00,1161.00,1449,1019,1820,1247,2070,661,410.00,705.00,2327.00,5950.00,18819
2021-01-04 22:00:00,2021-01-04 23:00:00,1223.00,1525,1056,1871,1293,2107,672,425.00,728.00,2504.00,6024.00,19428
2021-01-04 23:00:00,2021-01-05 00:00:00,1301.00,1621,1106,1952,1341,2178,683,462.00,774.00,2764.00,6169.00,20351
2021-01-05 00:00:00,2021-01-05 01:00:00,1298.00,1602,1092,1929,1319,2137,680,464.00,774.00,2769.00,6057.00,20121
2021-01-05 01:00:00,2021-01-05 02:00:00,1263.00,1552,1059,1889,1274,2090,682,444.00,746.00,2682.00,5891.00,19572
2021-01-05 02:00:00,2021-01-05 03:00:00,1216.00,1499,1022,1831,1225,2016,669,416.00,719.00,2573.00,5687.00,18873
2021-01-05 03:00:00,2021-01-05 04:00:00,1150.00,1408,968,1761,1165,1903,656,389.00,683.00,2418.00,5483.00,17984
2021-01-05 04:00:00,2021-01-05 05:00:00,1077.00,1314,897,1680,1095,1774,644,352.00,637.00,2226.00,5191.00,16887
2021-01-05 05:00:00,2021-01-05 06:00:00,997.00,1230,848,1597,1039,1697,631,324.00,589.00,2031.00,4875.00,15858
2021-01-05 06:00:00,2021-01-05 07:00:00,945.00,1178,808,1530,992,1654,624,297.00,558.00,1890.00,4614.00,15090
2021-01-05 07:00:00,2021-01-05 08:00:00,908.00,1149,787,1490,963,1625,620,284.00,538.00,1813.00,4436.00,14613
2021-01-05 08:00:00,2021-01-05 09:00:00,892.00,1124,780,1473,949,1612,620,282.00,525.00,1764.00,4334.00,14355
2021-01-05 09:00:00,2021-01-05 10:00:00,891.00,1125,784,1468,950,1601,624,279.00,519.00,1756.00,4290.00,14287
2021-01-05 10:00:00,2021-01-05 11:00:00,905.00,1157,802,1496,974,1628,627,284.00,524.00,1792.00,4308.00,14497
2021-01-05 11:00:00,2021-01-05 12:00:00,948.00,1225,869,1556,1033,1724,642,298.00,546.00,1892.00,4489.00,15222
2021-01-05 12:00:00,2021-01-05 13:00:00,1016.00,1324,942,1678,1119,1887,653,329.00,594.00,2064.00,4855.00,16461
2021-01-05 13:00:00,2021-01-05 14:00:00,1089.00,1410,1007,1785,1197,2013,676,361.00,643.00,2220.00,5257.00,17658
2021-01-05 14:00:00,2021-01-05 15:00:00,1134.00,1443,1022,1790,1221,2062,678,373.00,672.00,2245.00,5574.00,18214
2021-01-05 15:00:00,2021-01-05 16:00:00,1144.00,1455,1035,1811,1235,2071,681,384.00,680.00,2217.00,5732.00,18445
2021-01-05 16:00:00,2021-01-05 17:00:00,1137.00,1468,1039,1819,1250,2085,671,392.00,683.00,2200.00,5795.00,18539
2021-01-05 17:00:00,2021-01-05 18:00:00,1142.00,1471,1040,1830,1258,2079,669,389.00,691.00,2218.00,5869.00,18656
2021-01-05 18:00:00,2021-01-05 19:00:00,1148.00,1465,1021,1814,1258,2071,679,390.00,690.00,2199.00,5908.00,18643
2021-01-05 19:00:00,2021-01-05 20:00:00,1145.00,1471,1018,1826,1257,2067,670,384.00,696.00,2203.00,5932.00,18669
2021-01-05 20:00:00,2021-01-05 21:00:00,1149.00,1464,1015,1825,1252,2058,671,386.00,701.00,2278.00,5940.00,18739
2021-01-05 21:00:00,2021-01-05 22:00:00,1167.00,1484,1032,1825,1252,2060,675,394.00,709.00,2404.00,5966.00,18968
2021-01-05 22:00:00,2021-01-05 23:00:00,1229.00,1552,1068,1864,1289,2095,689,413.00,737.00,2586.00,6090.00,19612
2021-01-05 23:00:00,2021-01-06 00:00:00,1302.00,1643,1123,1933,1340,2169,700,444.00,773.00,2776.00,6209.00,20412
2021-01-06 00:00:00,2021-01-06 01:00:00,1288.00,1633,1110,1915,1321,2132,695,448.00,768.00,2761.00,6080.00,20151
2021-01-06 01:00:00,2021-01-06 02:00:00,1248.00,1583,1084,1888,1282,2083,688,432.00,741.00,2664.00,5915.00,19608
2021-01-06 02:00:00,2021-01-06 03:00:00,1207.00,1524,1050,1850,1236,2016,680,419.00,715.00,2551.00,5733.00,18981
2021-01-06 03:00:00,2021-01-06 04:00:00,1149.00,1436,996,1780,1173,1919,665,384.00,680.00,2397.00,5509.00,18088
2021-01-06 04:00:00,2021-01-06 05:00:00,1072.00,1342,936,1688,1096,1811,656,353.00,636.00,2199.00,5215.00,17004
2021-01-06 05:00:00,2021-01-06 06:00:00,994.00,1256,872,1617,1049,1707,638,326.00,590.00,2009.00,4918.00,15976
2021-01-06 06:00:00,2021-01-06 07:00:00,949.00,1209,836,1539,1005,1678,641,286.00,561.00,1870.00,4657.00,15231
2021-01-06 07:00:00,2021-01-06 08:00:00,922.00,1187,811,1502,974,1654,639,272.00,540.00,1786.00,4475.00,14762
2021-01-06 08:00:00,2021-01-06 09:00:00,907.00,1169,804,1477,957,1616,629,262.00,525.00,1744.00,4360.00,14450
2021-01-06 09:00:00,2021-01-06 10:00:00,909.00,1169,804,1478,959,1618,628,255.00,521.00,1735.00,4313.00,14389
2021-01-06 10:00:00,2021-01-06 11:00:00,908.00,1198,828,1514,984,1656,635,278.00,527.00,1771.00,4339.00,14638
2021-01-06 11:00:00,2021-01-06 12:00:00,950.00,1262,878,1577,1040,1747,647,302.00,548.00,1875.00,4528.00,15354
2021-01-06 12:00:00,2021-01-06 13:00:00,1028.00,1367,970,1693,1128,1903,665,336.00,593.00,2054.00,4899.00,16636
2021-01-06 13:00:00,2021-01-06 14:00:00,1102.00,1462,1041,1778,1200,2002,681,362.00,644.00,2224.00,5310.00,17806
2021-01-06 14:00:00,2021-01-06 15:00:00,1156.00,1508,1067,1812,1228,2028,687,381.00,674.00,2286.00,5619.00,18446
2021-01-06 15:00:00,2021-01-06 16:00:00,1155.00,1523,1076,1838,1246,2045,688,393.00,687.00,2280.00,5759.00,18690
2021-01-06 16:00:00,2021-01-06 17:00:00,1113.00,1519,1082,1869,1261,2057,688,395.00,691.00,2274.00,5812.00,18761
2021-01-06 17:00:00,2021-01-06 18:00:00,1076.00,1513,1074,1890,1267,2068,685,388.00,683.00,2241.00,5838.00,18723
2021-01-06 18:00:00,2021-01-06 19:00:00,1063.00,1510,1071,1888,1265,2084,679,383.00,681.00,2177.00,5849.00,18650
2021-01-06 19:00:00,2021-01-06 20:00:00,1074.00,1497,1064,1903,1267,2104,679,380.00,676.00,2156.00,5839.00,18639
2021-01-06 20:00:00,2021-01-06 21:00:00,1101.00,1497,1070,1891,1268,2098,678,383.00,679.00,2219.00,5848.00,18732
2021-01-06 21:00:00,2021-01-06 22:00:00,1145.00,1508,1064,1878,1271,2095,689,396.00,685.00,2338.00,5911.00,18980
2021-01-06 22:00:00,2021-01-06 23:00:00,1222.00,1576,1096,1918,1306,2121,694,420.00,716.00,2553.00,6054.00,19676
2021-01-06 23:00:00,2021-01-07 00:00:00,1320.00,1674,1161,1982,1356,2209,702,461.00,775.00,2810.00,6265.00,20715
2021-01-07 00:00:00,2021-01-07 01:00:00,1308.00,1657,1154,1949,1338,2164,700,467.00,769.00,2814.00,6169.00,20489
2021-01-07 01:00:00,2021-01-07 02:00:00,1267.00,1613,1133,1899,1299,2120,693,456.00,743.00,2731.00,6006.00,19960
2021-01-07 02:00:00,2021-01-07 03:00:00,1222.00,1552,1096,1853,1248,2048,687,443.00,717.00,2620.00,5819.00,19305
2021-01-07 03:00:00,2021-01-07 04:00:00,1163.00,1469,1042,1783,1182,1950,681,412.00,682.00,2465.00,5588.00,18417
2021-01-07 04:00:00,2021-01-07 05:00:00,1092.00,1378,990,1703,1110,1835,667,375.00,639.00,2272.00,5299.00,17360
2021-01-07 05:00:00,2021-01-07 06:00:00,1019.00,1296,913,1620,1055,1723,658,342.00,591.00,2085.00,4986.00,16288
2021-01-07 06:00:00,2021-01-07 07:00:00,967.00,1252,881,1556,1011,1690,653,317.00,559.00,1945.00,4732.00,15563
2021-01-07 07:00:00,2021-01-07 08:00:00,936.00,1232,865,1520,984,1676,649,310.00,543.00,1863.00,4550.00,15128
2021-01-07 08:00:00,2021-01-07 09:00:00,924.00,1219,852,1489,970,1641,642,305.00,539.00,1817.00,4443.00,14841
2021-01-07 09:00:00,2021-01-07 10:00:00,925.00,1214,854,1484,966,1626,648,303.00,532.00,1804.00,4397.00,14753
2021-01-07 10:00:00,2021-01-07 11:00:00,936.00,1244,876,1520,994,1668,652,313.00,540.00,1845.00,4425.00,15013
2021-01-07 11:00:00,2021-01-07 12:00:00,979.00,1312,924,1591,1049,1758,662,332.00,562.00,1950.00,4619.00,15738
2021-01-07 12:00:00,2021-01-07 13:00:00,1059.00,1420,1008,1699,1140,1931,676,366.00,608.00,2132.00,5003.00,17042
2021-01-07 13:00:00,2021-01-07 14:00:00,1127.00,1501,1073,1810,1233,2040,695,399.00,655.00,2301.00,5421.00,18255
2021-01-07 14:00:00,2021-01-07 15:00:00,1165.00,1512,1091,1850,1266,2096,697,408.00,687.00,2375.00,5728.00,18875
2021-01-07 15:00:00,2021-01-07 16:00:00,1123.00,1493,1090,1881,1279,2113,693,419.00,691.00,2311.00,5878.00,18971
2021-01-07 16:00:00,2021-01-07 17:00:00,1060.00,1453,1084,1909,1294,2130,686,411.00,687.00,2247.00,5911.00,18872
2021-01-07 17:00:00,2021-01-07 18:00:00,1023.00,1412,1069,1913,1297,2125,692,400.00,685.00,2172.00,5933.00,18721
2021-01-07 18:00:00,2021-01-07 19:00:00,1006.00,1365,1065,1904,1299,2116,691,398.00,682.00,2152.00,5929.00,18607
2021-01-07 19:00:00,2021-01-07 20:00:00,1005.00,1369,1058,1909,1297,2101,686,394.00,677.00,2165.00,5906.00,18567
2021-01-07 20:00:00,2021-01-07 21:00:00,1042.00,1396,1059,1861,1292,2097,673,392.00,679.00,2218.00,5892.00,18601
2021-01-07 21:00:00,2021-01-07 22:00:00,1109.00,1457,1077,1847,1293,2108,674,403.00,684.00,2335.00,5915.00,18902
2021-01-07 22:00:00,2021-01-07 23:00:00,1205.00,1565,1119,1887,1329,2149,689,428.00,713.00,2536.00,6026.00,19646
2021-01-07 23:00:00,2021-01-08 00:00:00,1303.00,1673,1167,1945,1374,2213,708,468.00,766.00,2791.00,6227.00,20635
2021-01-08 00:00:00,2021-01-08 01:00:00,1311.00,1666,1169,1938,1353,2179,700,479.00,767.00,2804.00,6140.00,20506
2021-01-08 01:00:00,2021-01-08 02:00:00,1283.00,1622,1147,1926,1313,2135,695,470.00,744.00,2724.00,6014.00,20073
2021-01-08 02:00:00,2021-01-08 03:00:00,1238.00,1566,1112,1884,1266,2077,691,454.00,724.00,2621.00,5841.00,19474
2021-01-08 03:00:00,2021-01-08 04:00:00,1187.00,1490,1061,1822,1202,1988,668,424.00,687.00,2474.00,5642.00,18645
2021-01-08 04:00:00,2021-01-08 05:00:00,1119.00,1396,999,1726,1149,1867,658,387.00,643.00,2285.00,5341.00,17570
2021-01-08 05:00:00,2021-01-08 06:00:00,1045.00,1323,941,1478,1244,1777,644,357.00,598.00,2103.00,5051.00,16561
2021-01-08 06:00:00,2021-01-08 07:00:00,990.00,1277,908,1498,1114,1754,648,338.00,565.00,1967.00,4797.00,15856
2021-01-08 07:00:00,2021-01-08 08:00:00,959.00,1252,889,1558,995,1732,642,330.00,549.00,1887.00,4624.00,15417
2021-01-08 08:00:00,2021-01-08 09:00:00,949.00,1240,887,1543,983,1703,643,326.00,536.00,1842.00,4521.00,15173
2021-01-08 09:00:00,2021-01-08 10:00:00,947.00,1240,889,1546,981,1706,646,326.00,532.00,1830.00,4473.00,15116
2021-01-08 10:00:00,2021-01-08 11:00:00,958.00,1268,912,1565,1001,1743,649,334.00,538.00,1867.00,4501.00,15336
2021-01-08 11:00:00,2021-01-08 12:00:00,1005.00,1338,972,1618,1057,1848,662,350.00,563.00,1971.00,4694.00,16078
2021-01-08 12:00:00,2021-01-08 13:00:00,1086.00,1436,1056,1738,1148,2006,672,372.00,616.00,2150.00,5068.00,17348
2021-01-08 13:00:00,2021-01-08 14:00:00,1156.00,1525,1119,1839,1225,2117,687,409.00,657.00,2311.00,5475.00,18520
2021-01-08 14:00:00,2021-01-08 15:00:00,1185.00,1572,1145,1878,1260,2176,693,429.00,680.00,2331.00,5794.00,19143
2021-01-08 15:00:00,2021-01-08 16:00:00,1150.00,1569,1139,1911,1281,2188,695,430.00,688.00,2291.00,5947.00,19289
2021-01-08 16:00:00,2021-01-08 17:00:00,1108.00,1549,1120,1925,1299,2225,689,420.00,694.00,2250.00,6008.00,19287
2021-01-08 17:00:00,2021-01-08 18:00:00,1062.00,1527,1105,1935,1308,2214,676,415.00,688.00,2205.00,6033.00,19168
2021-01-08 18:00:00,2021-01-08 19:00:00,1054.00,1493,1079,1923,1305,2204,666,410.00,697.00,2285.00,6071.00,19187
2021-01-08 19:00:00,2021-01-08 20:00:00,1070.00,1447,1058,1930,1298,2180,659,413.00,701.00,2380.00,6068.00,19204
2021-01-08 20:00:00,2021-01-08 21:00:00,1123.00,1444,1047,1870,1286,2161,657,418.00,704.00,2434.00,6046.00,19190
2021-01-08 21:00:00,2021-01-08 22:00:00,1183.00,1510,1070,1853,1279,2160,666,423.00,708.00,2489.00,6074.00,19415
2021-01-08 22:00:00,2021-01-08 23:00:00,1241.00,1615,1118,1881,1306,2181,684,447.00,737.00,2629.00,6176.00,20015
2021-01-08 23:00:00,2021-01-09 00:00:00,1316.00,1712,1182,1943,1350,2233,700,472.00,776.00,2783.00,6285.00,20752
2021-01-09 00:00:00,2021-01-09 01:00:00,1316.00,1699,1184,1939,1333,2187,701,473.00,770.00,2768.00,6143.00,20513
2021-01-09 01:00:00,2021-01-09 02:00:00,1285.00,1658,1167,1944,1303,2142,704,458.00,750.00,2687.00,6011.00,20109
2021-01-09 02:00:00,2021-01-09 03:00:00,1253.00,1602,1138,1890,1262,2080,699,443.00,731.00,2596.00,5837.00,19531
2021-01-09 03:00:00,2021-01-09 04:00:00,1212.00,1543,1094,1836,1210,2003,681,419.00,702.00,2473.00,5658.00,18831
2021-01-09 04:00:00,2021-01-09 05:00:00,1144.00,1472,1054,1750,1142,1923,670,410.00,662.00,2308.00,5398.00,17933
2021-01-09 05:00:00,2021-01-09 06:00:00,1079.00,1412,1011,1674,1092,1862,666,396.00,622.00,2146.00,5153.00,17113
2021-01-09 06:00:00,2021-01-09 07:00:00,1028.00,1355,973,1626,1057,1816,663,363.00,592.00,2022.00,4916.00,16411
2021-01-09 07:00:00,2021-01-09 08:00:00,997.00,1312,947,1588,1031,1786,664,347.00,572.00,1940.00,4749.00,15933
2021-01-09 08:00:00,2021-01-09 09:00:00,985.00,1292,938,1570,1017,1765,661,338.00,555.00,1895.00,4642.00,15658
2021-01-09 09:00:00,2021-01-09 10:00:00,981.00,1282,932,1559,1010,1762,661,337.00,547.00,1874.00,4580.00,15525
2021-01-09 10:00:00,2021-01-09 11:00:00,989.00,1287,937,1554,1007,1779,660,339.00,548.00,1888.00,4566.00,15554
