timestamp_begin_pt,timestamp_end_pt,SCE,VEA,PGAE,SDGE,System Total
2021-01-02 23:00:00,2021-01-03 00:00:00,9118.00,57,10140.00,1538,20853
2021-01-03 00:00:00,2021-01-03 01:00:00,9498.00,57,10377.00,1851,21783
2021-01-03 01:00:00,2021-01-03 02:00:00,10155.00,66,10984.00,2159,23364
2021-01-03 02:00:00,2021-01-03 03:00:00,11334.00,76,11983.00,2501,25894
2021-01-03 03:00:00,2021-01-03 04:00:00,11443.00,79,12091.00,2555,26168
2021-01-03 04:00:00,2021-01-03 05:00:00,11335.00,81,11725.00,2524,25665
2021-01-03 05:00:00,2021-01-03 06:00:00,11048.00,83,11317.00,2416,24864
2021-01-03 06:00:00,2021-01-03 07:00:00,10738.00,84,10889.00,2333,24044
2021-01-03 07:00:00,2021-01-03 08:00:00,10236.00,82,10270.00,2172,22760
2021-01-03 08:00:00,2021-01-03 09:00:00,9749.00,82,9608.00,2024,21463
2021-01-03 09:00:00,2021-01-03 10:00:00,9353.00,83,9213.00,1942,20591
2021-01-03 10:00:00,2021-01-03 11:00:00,9010.00,84,8843.00,1858,19795
2021-01-03 11:00:00,2021-01-03 12:00:00,8777.00,85,8615.00,1797,19274
2021-01-03 12:00:00,2021-01-03 13:00:00,8670.00,86,8505.00,1798,19059
2021-01-03 13:00:00,2021-01-03 14:00:00,8719.00,88,8567.00,1795,19169
2021-01-03 14:00:00,2021-01-03 15:00:00,8895.00,93,8739.00,1838,19565
2021-01-03 15:00:00,2021-01-03 16:00:00,9142.00,99,9060.00,1926,20227
2021-01-03 16:00:00,2021-01-03 17:00:00,9178.00,102,9373.00,1874,20527
2021-01-03 17:00:00,2021-01-03 18:00:00,9242.00,94,9415.00,1760,20511
2021-01-03 18:00:00,2021-01-03 19:00:00,8956.00,84,9274.00,1570,19884
2021-01-03 19:00:00,2021-01-03 20:00:00,8724.00,73,9128.00,1428,19353
2021-01-03 20:00:00,2021-01-03 21:00:00,8651.00,66,9012.00,1259,18988
2021-01-03 21:00:00,2021-01-03 22:00:00,8528.00,61,9001.00,1200,18790
2021-01-03 22:00:00,2021-01-03 23:00:00,8657.00,58,9079.00,1299,19093
2021-01-03 23:00:00,2021-01-04 00:00:00,8828.00,57,9258.00,1427,19570
2021-01-04 00:00:00,2021-01-04 01:00:00,9201.00,57,9765.00,1732,20755
2021-01-04 01:00:00,2021-01-04 02:00:00,9989.00,65,10565.00,2191,22810
2021-01-04 02:00:00,2021-01-04 03:00:00,11283.00,75,11778.00,2559,25695
2021-01-04 03:00:00,2021-01-04 04:00:00,11495.00,77,11911.00,2584,26067
2021-01-04 04:00:00,2021-01-04 05:00:00,11375.00,78,11655.00,2523,25631
2021-01-04 05:00:00,2021-01-04 06:00:00,11126.00,78,11306.00,2415,24925
2021-01-04 06:00:00,2021-01-04 07:00:00,10758.00,76,10792.00,2327,23953
2021-01-04 07:00:00,2021-01-04 08:00:00,10250.00,73,10114.00,2135,22572
2021-01-04 08:00:00,2021-01-04 09:00:00,9710.00,73,9415.00,1990,21188
2021-01-04 09:00:00,2021-01-04 10:00:00,9242.00,73,9018.00,1914,20247
2021-01-04 10:00:00,2021-01-04 11:00:00,9008.00,74,8792.00,1838,19712
2021-01-04 11:00:00,2021-01-04 12:00:00,8866.00,75,8652.00,1806,19399
2021-01-04 12:00:00,2021-01-04 13:00:00,8908.00,80,8606.00,1802,19396
2021-01-04 13:00:00,2021-01-04 14:00:00,9204.00,85,8825.00,1860,19974
2021-01-04 14:00:00,2021-01-04 15:00:00,9811.00,92,9380.00,2002,21285
2021-01-04 15:00:00,2021-01-04 16:00:00,10687.00,101,10305.00,2243,23336
2021-01-04 16:00:00,2021-01-04 17:00:00,11030.00,104,10949.00,2340,24423
2021-01-04 17:00:00,2021-01-04 18:00:00,11128.00,95,11222.00,2131,24576
2021-01-04 18:00:00,2021-01-04 19:00:00,10759.00,83,11154.00,1837,23833
2021-01-04 19:00:00,2021-01-04 20:00:00,10389.00,74,11281.00,1642,23386
2021-01-04 20:00:00,2021-01-04 21:00:00,10219.00,66,11344.00,1570,23199
2021-01-04 21:00:00,2021-01-04 22:00:00,10159.00,62,11316.00,1543,23080
2021-01-04 22:00:00,2021-01-04 23:00:00,10227.00,59,11074.00,1660,23020
2021-01-04 23:00:00,2021-01-05 00:00:00,10344.00,58,10830.00,1857,23089
2021-01-05 00:00:00,2021-01-05 01:00:00,10545.00,59,10949.00,2147,23700
2021-01-05 01:00:00,2021-01-05 02:00:00,11080.00,63,11413.00,2486,25042
2021-01-05 02:00:00,2021-01-05 03:00:00,12143.00,73,12446.00,2744,27406
2021-01-05 03:00:00,2021-01-05 04:00:00,12253.00,74,12583.00,2749,27659
2021-01-05 04:00:00,2021-01-05 05:00:00,12065.00,74,12248.00,2652,27039
2021-01-05 05:00:00,2021-01-05 06:00:00,11677.00,73,11830.00,2532,26112
2021-01-05 06:00:00,2021-01-05 07:00:00,11292.00,72,11233.00,2418,25015
2021-01-05 07:00:00,2021-01-05 08:00:00,10672.00,70,10587.00,2207,23536
2021-01-05 08:00:00,2021-01-05 09:00:00,10104.00,69,9916.00,2040,22129
2021-01-05 09:00:00,2021-01-05 10:00:00,9720.00,69,9485.00,1952,21226
2021-01-05 10:00:00,2021-01-05 11:00:00,9418.00,71,9182.00,1884,20555
2021-01-05 11:00:00,2021-01-05 12:00:00,9224.00,74,9013.00,1820,20131
2021-01-05 12:00:00,2021-01-05 13:00:00,9170.00,80,9004.00,1819,20073
2021-01-05 13:00:00,2021-01-05 14:00:00,9428.00,86,9277.00,1854,20645
2021-01-05 14:00:00,2021-01-05 15:00:00,9974.00,96,9877.00,1991,21938
2021-01-05 15:00:00,2021-01-05 16:00:00,10768.00,107,10789.00,2220,23884
2021-01-05 16:00:00,2021-01-05 17:00:00,11277.00,108,11564.00,2328,25277
2021-01-05 17:00:00,2021-01-05 18:00:00,11274.00,96,11557.00,2215,25142
2021-01-05 18:00:00,2021-01-05 19:00:00,11033.00,85,11000.00,1961,24079
2021-01-05 19:00:00,2021-01-05 20:00:00,10579.00,74,10408.00,1811,22872
2021-01-05 20:00:00,2021-01-05 21:00:00,10284.00,67,9872.00,1747,21970
2021-01-05 21:00:00,2021-01-05 22:00:00,10187.00,62,9589.00,1719,21557
2021-01-05 22:00:00,2021-01-05 23:00:00,10238.00,59,9710.00,1757,21764
2021-01-05 23:00:00,2021-01-06 00:00:00,10449.00,58,10076.00,1877,22460
2021-01-06 00:00:00,2021-01-06 01:00:00,10789.00,58,10750.00,2113,23710
2021-01-06 01:00:00,2021-01-06 02:00:00,11238.00,63,11381.00,2411,25093
2021-01-06 02:00:00,2021-01-06 03:00:00,12238.00,72,12426.00,2745,27481
2021-01-06 03:00:00,2021-01-06 04:00:00,12318.00,76,12662.00,2759,27815
2021-01-06 04:00:00,2021-01-06 05:00:00,12172.00,77,12375.00,2680,27304
2021-01-06 05:00:00,2021-01-06 06:00:00,11838.00,77,11995.00,2572,26482
2021-01-06 06:00:00,2021-01-06 07:00:00,11422.00,77,11476.00,2459,25434
2021-01-06 07:00:00,2021-01-06 08:00:00,10866.00,75,10786.00,2262,23989
2021-01-06 08:00:00,2021-01-06 09:00:00,10209.00,75,10018.00,2075,22377
2021-01-06 09:00:00,2021-01-06 10:00:00,9707.00,76,9575.00,2001,21359
2021-01-06 10:00:00,2021-01-06 11:00:00,9442.00,79,9281.00,1950,20752
2021-01-06 11:00:00,2021-01-06 12:00:00,9274.00,76,9174.00,1883,20407
2021-01-06 12:00:00,2021-01-06 13:00:00,9229.00,75,9181.00,1873,20358
2021-01-06 13:00:00,2021-01-06 14:00:00,9464.00,94,9459.00,1924,20941
2021-01-06 14:00:00,2021-01-06 15:00:00,10091.00,119,10113.00,2070,22393
2021-01-06 15:00:00,2021-01-06 16:00:00,10962.00,148,11047.00,2308,24465
2021-01-06 16:00:00,2021-01-06 17:00:00,11470.00,139,11808.00,2399,25816
2021-01-06 17:00:00,2021-01-06 18:00:00,11641.00,19,11963.00,2221,25844
2021-01-06 18:00:00,2021-01-06 19:00:00,11172.00,83,11827.00,2007,25089
2021-01-06 19:00:00,2021-01-06 20:00:00,10805.00,82,11512.00,1821,24220
2021-01-06 20:00:00,2021-01-06 21:00:00,10559.00,72,11222.00,1745,23598
2021-01-06 21:00:00,2021-01-06 22:00:00,10466.00,64,11264.00,1756,23550
2021-01-06 22:00:00,2021-01-06 23:00:00,10638.00,60,11225.00,1774,23697
2021-01-06 23:00:00,2021-01-07 00:00:00,10843.00,58,11043.00,1874,23818
2021-01-07 00:00:00,2021-01-07 01:00:00,10971.00,59,11013.00,2021,24064
2021-01-07 01:00:00,2021-01-07 02:00:00,11357.00,67,11436.00,2437,25297
2021-01-07 02:00:00,2021-01-07 03:00:00,12222.00,76,12636.00,2715,27649
2021-01-07 03:00:00,2021-01-07 04:00:00,12297.00,77,12842.00,2731,27947
2021-01-07 04:00:00,2021-01-07 05:00:00,12010.00,78,12529.00,2642,27259
2021-01-07 05:00:00,2021-01-07 06:00:00,11740.00,77,12127.00,2526,26470
2021-01-07 06:00:00,2021-01-07 07:00:00,11373.00,77,11593.00,2425,25468
2021-01-07 07:00:00,2021-01-07 08:00:00,10783.00,75,10816.00,2232,23906
2021-01-07 08:00:00,2021-01-07 09:00:00,10116.00,75,10084.00,2078,22353
2021-01-07 09:00:00,2021-01-07 10:00:00,9675.00,76,9626.00,1972,21349
2021-01-07 10:00:00,2021-01-07 11:00:00,9338.00,79,9308.00,1892,20617
2021-01-07 11:00:00,2021-01-07 12:00:00,9157.00,83,9166.00,1847,20253
2021-01-07 12:00:00,2021-01-07 13:00:00,9268.00,86,9194.00,1841,20389
2021-01-07 13:00:00,2021-01-07 14:00:00,9564.00,93,9406.00,1891,20954
2021-01-07 14:00:00,2021-01-07 15:00:00,10142.00,104,10011.00,2023,22280
2021-01-07 15:00:00,2021-01-07 16:00:00,11017.00,113,10944.00,2258,24332
2021-01-07 16:00:00,2021-01-07 17:00:00,11454.00,114,11755.00,2344,25667
2021-01-07 17:00:00,2021-01-07 18:00:00,11526.00,101,12077.00,2057,25761
2021-01-07 18:00:00,2021-01-07 19:00:00,11339.00,95,11753.00,1825,25012
2021-01-07 19:00:00,2021-01-07 20:00:00,11041.00,84,11344.00,1675,24144
2021-01-07 20:00:00,2021-01-07 21:00:00,10965.00,76,10922.00,1533,23496
2021-01-07 21:00:00,2021-01-07 22:00:00,10779.00,73,10539.00,1650,23041
2021-01-07 22:00:00,2021-01-07 23:00:00,10797.00,70,10214.00,1602,22683
2021-01-07 23:00:00,2021-01-08 00:00:00,10872.00,70,10240.00,1730,22912
2021-01-08 00:00:00,2021-01-08 01:00:00,11058.00,71,10721.00,2008,23858
2021-01-08 01:00:00,2021-01-08 02:00:00,11392.00,76,11406.00,2376,25250
2021-01-08 02:00:00,2021-01-08 03:00:00,12263.00,84,12616.00,2673,27636
2021-01-08 03:00:00,2021-01-08 04:00:00,12347.00,86,12832.00,2689,27954
2021-01-08 04:00:00,2021-01-08 05:00:00,12134.00,87,12538.00,2602,27361
2021-01-08 05:00:00,2021-01-08 06:00:00,11906.00,88,12156.00,2494,26644
2021-01-08 06:00:00,2021-01-08 07:00:00,11501.00,88,11670.00,2364,25623
2021-01-08 07:00:00,2021-01-08 08:00:00,10883.00,86,10957.00,2188,24114
2021-01-08 08:00:00,2021-01-08 09:00:00,10266.00,86,10207.00,2029,22588
2021-01-08 09:00:00,2021-01-08 10:00:00,9782.00,86,9685.00,1955,21508
2021-01-08 10:00:00,2021-01-08 11:00:00,9465.00,88,9403.00,1890,20846
2021-01-08 11:00:00,2021-01-08 12:00:00,9280.00,91,9220.00,1843,20434
2021-01-08 12:00:00,2021-01-08 13:00:00,9263.00,94,9163.00,1837,20357
2021-01-08 13:00:00,2021-01-08 14:00:00,9479.00,100,9374.00,1885,20838
2021-01-08 14:00:00,2021-01-08 15:00:00,10071.00,108,9945.00,2039,22163
2021-01-08 15:00:00,2021-01-08 16:00:00,10913.00,116,10892.00,2241,24162
2021-01-08 16:00:00,2021-01-08 17:00:00,11381.00,119,11708.00,2360,25568
2021-01-08 17:00:00,2021-01-08 18:00:00,11557.00,106,11945.00,2181,25789
2021-01-08 18:00:00,2021-01-08 19:00:00,11348.00,92,11698.00,1860,24998
2021-01-08 19:00:00,2021-01-08 20:00:00,10946.00,82,11325.00,1671,24024
2021-01-08 20:00:00,2021-01-08 21:00:00,10616.00,70,11030.00,1578,23294
2021-01-08 21:00:00,2021-01-08 22:00:00,10398.00,64,10747.00,1562,22771
2021-01-08 22:00:00,2021-01-08 23:00:00,10424.00,61,10399.00,1637,22521
2021-01-08 23:00:00,2021-01-09 00:00:00,10544.00,58,10261.00,1692,22555
2021-01-09 00:00:00,2021-01-09 01:00:00,10645.00,57,10582.00,1969,23253
2021-01-09 01:00:00,2021-01-09 02:00:00,11074.00,63,11210.00,2378,24725
2021-01-09 02:00:00,2021-01-09 03:00:00,11934.00,74,12288.00,2610,26906
2021-01-09 03:00:00,2021-01-09 04:00:00,12084.00,78,12514.00,2639,27315
2021-01-09 04:00:00,2021-01-09 05:00:00,11902.00,80,12239.00,2564,26785
2021-01-09 05:00:00,2021-01-09 06:00:00,11679.00,82,11894.00,2474,26129
2021-01-09 06:00:00,2021-01-09 07:00:00,11325.00,84,11433.00,2391,25233
2021-01-09 07:00:00,2021-01-09 08:00:00,10829.00,85,10779.00,2216,23909
2021-01-09 08:00:00,2021-01-09 09:00:00,10179.00,84,10098.00,2064,22425
2021-01-09 09:00:00,2021-01-09 10:00:00,9675.00,84,9669.00,1973,21401
2021-01-09 10:00:00,2021-01-09 11:00:00,9295.00,86,9324.00,1903,20608
2021-01-09 11:00:00,2021-01-09 12:00:00,9126.00,86,9197.00,1860,20269
2021-01-09 12:00:00,2021-01-09 13:00:00,9053.00,86,9106.00,1840,20085
2021-01-09 13:00:00,2021-01-09 14:00:00,9132.00,87,9224.00,1862,20305
2021-01-09 14:00:00,2021-01-09 15:00:00,9477.00,91,9529.00,1935,21032
2021-01-09 15:00:00,2021-01-09 16:00:00,9960.00,98,10024.00,2055,22137
2021-01-09 16:00:00,2021-01-09 17:00:00,10074.00,97,10484.00,2094,22749
2021-01-09 17:00:00,2021-01-09 18:00:00,10012.00,90,10527.00,1778,22407
2021-01-09 18:00:00,2021-01-09 19:00:00,9865.00,83,10171.00,1616,21735
2021-01-09 19:00:00,2021-01-09 20:00:00,9596.00,75,9736.00,1479,20886
2021-01-09 20:00:00,2021-01-09 21:00:00,9301.00,69,9296.00,1375,20041
2021-01-09 21:00:00,2021-01-09 22:00:00,9168.00,64,9126.00,1351,19709
2021-01-09 22:00:00,2021-01-09 23:00:00,9123.00,60,9053.00,1361,19597
2021-01-09 23:00:00,2021-01-10 00:00:00,9223.00,60,9218.00,1493,19994
2021-01-10 00:00:00,2021-01-10 01:00:00,9603.00,61,9816.00,1789,21269
2021-01-10 01:00:00,2021-01-10 02:00:00,10140.00,68,10661.00,2202,23071
2021-01-10 02:00:00,2021-01-10 03:00:00,11198.00,77,11750.00,2532,25557
2021-01-10 03:00:00,2021-01-10 04:00:00,11438.00,79,12066.00,2530,26113
2021-01-10 04:00:00,2021-01-10 05:00:00,11357.00,80,11824.00,2470,25731
2021-01-10 05:00:00,2021-01-10 06:00:00,11204.00,81,11547.00,2397,25229
2021-01-10 06:00:00,2021-01-10 07:00:00,10840.00,81,11151.00,2294,24366
2021-01-10 07:00:00,2021-01-10 08:00:00,10375.00,80,10531.00,2152,23138
2021-01-10 08:00:00,2021-01-10 09:00:00,9866.00,80,9910.00,2009,21865
2021-01-10 09:00:00,2021-01-10 10:00:00,9454.00,82,9576.00,1930,21042
2021-01-10 10:00:00,2021-01-10 11:00:00,9112.00,85,9276.00,1857,20330
2021-01-10 11:00:00,2021-01-10 12:00:00,8918.00,88,9072.00,1812,19890
2021-01-10 12:00:00,2021-01-10 13:00:00,8849.00,90,9006.00,1789,19734
2021-01-10 13:00:00,2021-01-10 14:00:00,8878.00,95,9066.00,1801,19840
2021-01-10 14:00:00,2021-01-10 15:00:00,9027.00,102,9280.00,1855,20264
2021-01-10 15:00:00,2021-01-10 16:00:00,9371.00,109,9630.00,1945,21055
2021-01-10 16:00:00,2021-01-10 17:00:00,9366.00,111,9972.00,1908,21357
2021-01-10 17:00:00,2021-01-10 18:00:00,9201.00,103,9989.00,1673,20966
2021-01-10 18:00:00,2021-01-10 19:00:00,8979.00,90,9772.00,1510,20351
2021-01-10 19:00:00,2021-01-10 20:00:00,8776.00,78,9525.00,1364,19743
2021-01-10 20:00:00,2021-01-10 21:00:00,8867.00,68,9216.00,1270,19421
2021-01-10 21:00:00,2021-01-10 22:00:00,9020.00,62,9109.00,1297,19488
2021-01-10 22:00:00,2021-01-10 23:00:00,8901.00,58,8949.00,1440,19348
2021-01-10 23:00:00,2021-01-11 00:00:00,8849.00,57,9219.00,1689,19814
2021-01-11 00:00:00,2021-01-11 01:00:00,9241.00,58,9847.00,1973,21119
2021-01-11 01:00:00,2021-01-11 02:00:00,9844.00,65,10727.00,2274,22910
2021-01-11 02:00:00,2021-01-11 03:00:00,11046.00,76,11868.00,2571,25561
2021-01-11 03:00:00,2021-01-11 04:00:00,11237.00,80,12095.00,2564,25976
2021-01-11 04:00:00,2021-01-11 05:00:00,11109.00,82,11835.00,2497,25523
2021-01-11 05:00:00,2021-01-11 06:00:00,10923.00,84,11481.00,2434,24922
2021-01-11 06:00:00,2021-01-11 07:00:00,10649.00,84,11052.00,2302,24087
2021-01-11 07:00:00,2021-01-11 08:00:00,10177.00,82,10322.00,2138,22719
2021-01-11 08:00:00,2021-01-11 09:00:00,9642.00,82,9632.00,1986,21342
2021-01-11 09:00:00,2021-01-11 10:00:00,9279.00,85,9185.00,1911,20460
2021-01-11 10:00:00,2021-01-11 11:00:00,9023.00,87,8909.00,1853,19872
2021-01-11 11:00:00,2021-01-11 12:00:00,8939.00,90,8810.00,1817,19656
2021-01-11 12:00:00,2021-01-11 13:00:00,8973.00,94,8856.00,1816,19739
2021-01-11 13:00:00,2021-01-11 14:00:00,9294.00,100,9222.00,1874,20490
2021-01-11 14:00:00,2021-01-11 15:00:00,9970.00,111,9902.00,2027,22010
2021-01-11 15:00:00,2021-01-11 16:00:00,10959.00,121,10930.00,2271,24281
2021-01-11 16:00:00,2021-01-11 17:00:00,11533.00,121,11835.00,2388,25877
2021-01-11 17:00:00,2021-01-11 18:00:00,11669.00,108,11921.00,2092,25790
2021-01-11 18:00:00,2021-01-11 19:00:00,11271.00,94,11416.00,1965,24746
2021-01-11 19:00:00,2021-01-11 20:00:00,10938.00,82,10802.00,1820,23642
2021-01-11 20:00:00,2021-01-11 21:00:00,10653.00,71,10270.00,1647,22641
2021-01-11 21:00:00,2021-01-11 22:00:00,10504.00,66,9928.00,1512,22010
2021-01-11 22:00:00,2021-01-11 23:00:00,10528.00,62,9751.00,1545,21886
2021-01-11 23:00:00,2021-01-12 00:00:00,10609.00,61,9977.00,1703,22350
2021-01-12 00:00:00,2021-01-12 01:00:00,10829.00,61,10551.00,1998,23439
2021-01-12 01:00:00,2021-01-12 02:00:00,11198.00,68,11318.00,2316,24900
2021-01-12 02:00:00,2021-01-12 03:00:00,12115.00,79,12578.00,2647,27419
2021-01-12 03:00:00,2021-01-12 04:00:00,12217.00,82,12768.00,2663,27730
2021-01-12 04:00:00,2021-01-12 05:00:00,11981.00,84,12443.00,2577,27085
2021-01-12 05:00:00,2021-01-12 06:00:00,11672.00,86,12011.00,2471,26240
2021-01-12 06:00:00,2021-01-12 07:00:00,11303.00,86,11517.00,2341,25247
2021-01-12 07:00:00,2021-01-12 08:00:00,10752.00,84,10718.00,2165,23719
2021-01-12 08:00:00,2021-01-12 09:00:00,10167.00,84,10001.00,2007,22259
2021-01-12 09:00:00,2021-01-12 10:00:00,9735.00,85,9629.00,1923,21372
2021-01-12 10:00:00,2021-01-12 11:00:00,9438.00,87,9343.00,1849,20717
2021-01-12 11:00:00,2021-01-12 12:00:00,9288.00,90,9185.00,1811,20374
2021-01-12 12:00:00,2021-01-12 13:00:00,9278.00,94,9158.00,1805,20335
2021-01-12 13:00:00,2021-01-12 14:00:00,9546.00,101,9403.00,1868,20918
2021-01-12 14:00:00,2021-01-12 15:00:00,10161.00,111,10003.00,2032,22307
2021-01-12 15:00:00,2021-01-12 16:00:00,11101.00,120,10995.00,2264,24480
2021-01-12 16:00:00,2021-01-12 17:00:00,11463.00,122,11782.00,2339,25706
2021-01-12 17:00:00,2021-01-12 18:00:00,11540.00,110,12080.00,2052,25782
2021-01-12 18:00:00,2021-01-12 19:00:00,11305.00,96,12111.00,1810,25322
2021-01-12 19:00:00,2021-01-12 20:00:00,10996.00,83,11984.00,1684,24747
2021-01-12 20:00:00,2021-01-12 21:00:00,10865.00,73,11706.00,1599,24243
2021-01-12 21:00:00,2021-01-12 22:00:00,10849.00,67,11416.00,1556,23888
2021-01-12 22:00:00,2021-01-12 23:00:00,10789.00,64,11361.00,1620,23834
2021-01-12 23:00:00,2021-01-13 00:00:00,11120.00,62,11221.00,1730,24133
2021-01-13 00:00:00,2021-01-13 01:00:00,11300.00,65,11330.00,2129,24824
2021-01-13 01:00:00,2021-01-13 02:00:00,11405.00,72,11664.00,2357,25498
2021-01-13 02:00:00,2021-01-13 03:00:00,12241.00,81,12668.00,2635,27625
2021-01-13 03:00:00,2021-01-13 04:00:00,12305.00,82,12691.00,2653,27731
2021-01-13 04:00:00,2021-01-13 05:00:00,12033.00,83,12326.00,2557,26999
2021-01-13 05:00:00,2021-01-13 06:00:00,11712.00,84,11868.00,2441,26105
2021-01-13 06:00:00,2021-01-13 07:00:00,11289.00,82,11298.00,2335,25004
2021-01-13 07:00:00,2021-01-13 08:00:00,10711.00,82,10580.00,2150,23523
2021-01-13 08:00:00,2021-01-13 09:00:00,10109.00,80,9856.00,2010,22055
2021-01-13 09:00:00,2021-01-13 10:00:00,9727.00,80,9460.00,1961,21228
2021-01-13 10:00:00,2021-01-13 11:00:00,9414.00,82,9145.00,1900,20541
2021-01-13 11:00:00,2021-01-13 12:00:00,9255.00,85,9009.00,1844,20193
2021-01-13 12:00:00,2021-01-13 13:00:00,9251.00,89,9023.00,1833,20196
2021-01-13 13:00:00,2021-01-13 14:00:00,9509.00,94,9238.00,1875,20716
2021-01-13 14:00:00,2021-01-13 15:00:00,10116.00,103,9842.00,2021,22082
2021-01-13 15:00:00,2021-01-13 16:00:00,10991.00,113,10774.00,2243,24121
2021-01-13 16:00:00,2021-01-13 17:00:00,11435.00,114,11508.00,2253,25310
2021-01-13 17:00:00,2021-01-13 18:00:00,11469.00,102,11612.00,2058,25241
2021-01-13 18:00:00,2021-01-13 19:00:00,11137.00,89,11056.00,1871,24153
2021-01-13 19:00:00,2021-01-13 20:00:00,10714.00,80,10480.00,1683,22957
2021-01-13 20:00:00,2021-01-13 21:00:00,10656.00,58,10111.00,1653,22478
2021-01-13 21:00:00,2021-01-13 22:00:00,10663.00,55,9695.00,1646,22059
2021-01-13 22:00:00,2021-01-13 23:00:00,10649.00,52,9604.00,1649,21954
2021-01-13 23:00:00,2021-01-14 00:00:00,10609.00,50,9835.00,1941,22435
2021-01-14 00:00:00,2021-01-14 01:00:00,10835.00,41,10335.00,2088,23299
2021-01-14 01:00:00,2021-01-14 02:00:00,11158.00,53,11059.00,2390,24660
2021-01-14 02:00:00,2021-01-14 03:00:00,11991.00,62,12103.00,2650,26806
2021-01-14 03:00:00,2021-01-14 04:00:00,12137.00,64,12310.00,2619,27130
