timestamp_begin_et,timestamp_end_et,MIDATL,OTHER,RFC,RTO,SOUTH,WEST,System Total
2021-01-01 23:00:00,2021-01-02 00:00:00,-1.315,-0.02,-1.605,-4.888,-3.283,-0.29,-11.401
2021-01-02 00:00:00,2021-01-02 01:00:00,-1.339,-0.12,-1.613,-4.81,-3.197,-0.274,-11.353
2021-01-02 01:00:00,2021-01-02 02:00:00,-1.321,-0.018,-1.595,-4.819,-3.224,-0.274,-11.251
2021-01-02 02:00:00,2021-01-02 03:00:00,-1.282,-0.021,-1.555,-4.792,-3.237,-0.273,-11.160
2021-01-02 03:00:00,2021-01-02 04:00:00,-1.347,-0.12,-1.624,-4.789,-3.165,-0.277,-11.322
2021-01-02 04:00:00,2021-01-02 05:00:00,-1.327,-0.019,-1.6,-4.796,-3.196,-0.273,-11.211
2021-01-02 05:00:00,2021-01-02 06:00:00,-1.322,-0.119,-1.588,-4.609,-3.021,-0.266,-10.925
2021-01-02 06:00:00,2021-01-02 07:00:00,-1.318,-0.02,-1.591,-4.639,-3.048,-0.273,-10.889
2021-01-02 07:00:00,2021-01-02 08:00:00,2.976,0.209,3.474,10.349,6.875,0.498,24.381
2021-01-02 08:00:00,2021-01-02 09:00:00,66.409,5.543,82.912,188.621,105.709,16.503,465.697
2021-01-02 09:00:00,2021-01-02 10:00:00,210.596,13.067,255.633,597.003,341.37,45.037,1462.706
2021-01-02 10:00:00,2021-01-02 11:00:00,305.652,13.501,358.957,1012.632,653.675,53.305,2397.722
2021-01-02 11:00:00,2021-01-02 12:00:00,296.366,18.258,362.508,1268.467,905.959,66.142,2917.700
2021-01-02 12:00:00,2021-01-02 13:00:00,327.893,16.167,400.814,1322.233,921.419,72.921,3061.447
2021-01-02 13:00:00,2021-01-02 14:00:00,324.311,17.098,388.852,1207.265,818.413,64.541,2820.480
2021-01-02 14:00:00,2021-01-02 15:00:00,283.669,14.938,333.336,880.772,547.436,49.667,2109.818
2021-01-02 15:00:00,2021-01-02 16:00:00,114.97,5.515,137.92,373.182,235.262,22.95,889.799
2021-01-02 16:00:00,2021-01-02 17:00:00,14.408,1.039,22.101,70.095,47.994,7.693,163.330
2021-01-02 17:00:00,2021-01-02 18:00:00,-1.327,-0.122,-1.609,-4.74,-3.131,-0.282,-11.211
2021-01-02 18:00:00,2021-01-02 19:00:00,-1.25,-0.018,-1.501,-4.629,-3.128,-0.251,-10.777
2021-01-02 19:00:00,2021-01-02 20:00:00,-1.302,-0.02,-1.57,-4.568,-2.998,-0.268,-10.726
2021-01-02 20:00:00,2021-01-02 21:00:00,-1.263,-0.12,-1.528,-4.488,-2.96,-0.265,-10.624
2021-01-02 21:00:00,2021-01-02 22:00:00,-1.291,-0.02,-1.564,-4.605,-3.041,-0.273,-10.794
2021-01-02 22:00:00,2021-01-02 23:00:00,-1.291,-0.119,-1.56,-4.507,-2.947,-0.269,-10.693
2021-01-02 23:00:00,2021-01-03 00:00:00,-1.296,-0.02,-1.548,-4.393,-2.845,-0.252,-10.354
2021-01-03 00:00:00,2021-01-03 01:00:00,-1.296,-0.02,12.439,9.344,-3.095,13.735,31.107
2021-01-03 01:00:00,2021-01-03 02:00:00,-1.381,-0.119,-1.646,-4.769,-3.123,-0.265,-11.303
2021-01-03 02:00:00,2021-01-03 03:00:00,-1.273,-0.021,-1.534,-4.574,-3.04,-0.261,-10.703
2021-01-03 03:00:00,2021-01-03 04:00:00,-1.296,-0.12,-1.554,-4.712,-3.158,-0.258,-11.098
2021-01-03 04:00:00,2021-01-03 05:00:00,-1.315,-0.018,-1.573,-4.719,-3.146,-0.258,-11.029
2021-01-03 05:00:00,2021-01-03 06:00:00,-1.292,-0.02,-1.555,-4.538,-2.983,-0.263,-10.651
2021-01-03 06:00:00,2021-01-03 07:00:00,-1.3,-0.12,-1.565,-4.665,-3.1,-0.265,-11.015
2021-01-03 07:00:00,2021-01-03 08:00:00,-0.923,0.074,-1.194,0.602,1.796,-0.271,0.084
2021-01-03 08:00:00,2021-01-03 09:00:00,11.647,1.232,12.695,67.83,55.135,1.048,149.587
2021-01-03 09:00:00,2021-01-03 10:00:00,46.218,1.561,58.47,185.556,127.086,12.252,431.143
2021-01-03 10:00:00,2021-01-03 11:00:00,70.91,2.763,101.128,280.672,179.544,30.218,665.235
2021-01-03 11:00:00,2021-01-03 12:00:00,79.32,5.083,118.263,370.018,251.755,38.943,863.382
2021-01-03 12:00:00,2021-01-03 13:00:00,56.387,3.967,88.553,403.966,315.413,32.166,900.452
2021-01-03 13:00:00,2021-01-03 14:00:00,40.116,2.403,74.03,360.847,286.817,33.914,798.127
2021-01-03 14:00:00,2021-01-03 15:00:00,30.251,2.294,63.402,228.154,164.752,33.151,522.004
2021-01-03 15:00:00,2021-01-03 16:00:00,10.83,0.949,29.575,104.193,74.618,18.745,238.91
2021-01-03 16:00:00,2021-01-03 17:00:00,-0.104,0.582,5.059,28.755,23.696,5.163,63.151
2021-01-03 17:00:00,2021-01-03 18:00:00,-1.302,-0.02,-1.6,-4.852,-3.252,-0.298,-11.324
2021-01-03 18:00:00,2021-01-03 19:00:00,-1.299,-0.12,-1.579,-4.822,-3.243,-0.28,-11.343
2021-01-03 19:00:00,2021-01-03 20:00:00,-1.278,-0.02,-1.565,-4.735,-3.17,-0.287,-11.055
2021-01-03 20:00:00,2021-01-03 21:00:00,-1.224,-0.12,-1.498,-4.824,-3.326,-0.274,-11.266
2021-01-03 21:00:00,2021-01-03 22:00:00,-1.205,-0.018,-1.479,-4.568,-3.089,-0.274,-10.633
2021-01-03 22:00:00,2021-01-03 23:00:00,-1.21,-0.02,-1.493,-4.647,-3.154,-0.283,-10.807
2021-01-03 23:00:00,2021-01-04 00:00:00,-1.196,-0.121,-1.463,-4.708,-3.245,-0.267,-11.000
2021-01-04 00:00:00,2021-01-04 01:00:00,-1.438,-0.02,-1.711,-4.762,-3.051,-0.273,-11.255
2021-01-04 01:00:00,2021-01-04 02:00:00,-1.446,-0.12,-1.689,-4.787,-3.098,-0.243,-11.383
2021-01-04 02:00:00,2021-01-04 03:00:00,-1.39,-0.02,-1.635,-4.706,-3.071,-0.245,-11.067
2021-01-04 03:00:00,2021-01-04 04:00:00,-1.465,-0.02,-1.701,-4.871,-3.17,-0.236,-11.463
2021-01-04 04:00:00,2021-01-04 05:00:00,-1.415,-0.119,-1.659,-4.777,-3.118,-0.244,-11.332
2021-01-04 05:00:00,2021-01-04 06:00:00,-1.44,-0.019,-1.683,-4.832,-3.149,-0.243,-11.366
2021-01-04 06:00:00,2021-01-04 07:00:00,-1.424,-0.12,-1.682,-4.65,-2.968,-0.258,-11.102
2021-01-04 07:00:00,2021-01-04 08:00:00,3.41,0.556,3.552,25.415,21.863,0.142,54.938
2021-01-04 08:00:00,2021-01-04 09:00:00,50.832,9.894,56.469,514.934,458.465,5.637,1096.231
2021-01-04 09:00:00,2021-01-04 10:00:00,117.161,21.126,134.346,1096.543,962.197,17.185,2348.558
2021-01-04 10:00:00,2021-01-04 11:00:00,155.198,21.169,184.69,1160.12,975.43,29.492,2526.099
2021-01-04 11:00:00,2021-01-04 12:00:00,205.818,20.296,240.387,1106.759,866.372,34.569,2474.201
2021-01-04 12:00:00,2021-01-04 13:00:00,230.598,15.351,275.609,972.105,696.496,45.011,2235.170
2021-01-04 13:00:00,2021-01-04 14:00:00,200.201,8.283,239.624,754.944,515.32,39.423,1757.795
2021-01-04 14:00:00,2021-01-04 15:00:00,102.896,3.432,136.064,436.613,300.549,33.168,1012.722
2021-01-04 15:00:00,2021-01-04 16:00:00,45.173,1.752,67.538,195.905,128.367,22.365,461.100
2021-01-04 16:00:00,2021-01-04 17:00:00,4.52,0.425,18.839,56.888,38.049,14.319,133.04
2021-01-04 17:00:00,2021-01-04 18:00:00,-1.396,-0.02,-1.626,-4.779,-3.153,-0.23,-11.204
2021-01-04 18:00:00,2021-01-04 19:00:00,-1.352,-0.02,-1.603,-4.823,-3.22,-0.251,-11.269
2021-01-04 19:00:00,2021-01-04 20:00:00,-1.351,-0.119,-1.594,-4.689,-3.095,-0.243,-11.091
2021-01-04 20:00:00,2021-01-04 21:00:00,-1.34,-0.019,-1.591,-4.712,-3.121,-0.251,-11.034
2021-01-04 21:00:00,2021-01-04 22:00:00,-1.243,-0.119,-1.479,-4.536,-3.057,-0.236,-10.670
2021-01-04 22:00:00,2021-01-04 23:00:00,-1.287,-0.02,-1.523,-4.605,-3.082,-0.236,-10.753
2021-01-04 23:00:00,2021-01-05 00:00:00,-1.271,-0.018,-1.507,-4.567,-3.06,-0.236,-10.659
2021-01-05 00:00:00,2021-01-05 01:00:00,-1.391,-0.12,-1.628,-4.727,-3.099,-0.237,-11.202
2021-01-05 01:00:00,2021-01-05 02:00:00,-1.373,-0.018,-1.602,-4.673,-3.071,-0.229,-10.966
2021-01-05 02:00:00,2021-01-05 03:00:00,-1.381,-0.121,-1.617,-4.477,-2.86,-0.236,-10.692
2021-01-05 03:00:00,2021-01-05 04:00:00,-1.438,-0.018,-1.66,-4.709,-3.049,-0.222,-11.096
2021-01-05 04:00:00,2021-01-05 05:00:00,-1.393,-0.02,-1.622,-4.831,-3.209,-0.229,-11.304
2021-01-05 05:00:00,2021-01-05 06:00:00,-1.393,-0.118,-1.629,-4.673,-3.044,-0.236,-11.093
2021-01-05 06:00:00,2021-01-05 07:00:00,-1.442,-0.02,-1.694,-4.73,-3.036,-0.252,-11.174
2021-01-05 07:00:00,2021-01-05 08:00:00,0.593,0.293,0.708,31.04,30.332,0.115,63.081
2021-01-05 08:00:00,2021-01-05 09:00:00,28.528,5.627,34.693,329.741,295.048,6.165,699.802
2021-01-05 09:00:00,2021-01-05 10:00:00,70.832,8.68,90.184,719.698,629.514,19.352,1538.26
2021-01-05 10:00:00,2021-01-05 11:00:00,129.509,14.61,156.465,844.009,687.544,26.956,1859.093
2021-01-05 11:00:00,2021-01-05 12:00:00,171.792,16.213,209.337,825.755,616.418,37.545,1877.060
2021-01-05 12:00:00,2021-01-05 13:00:00,126.936,9.677,188.367,860.102,671.735,61.431,1918.248
2021-01-05 13:00:00,2021-01-05 14:00:00,84.557,7.198,129.45,711.677,582.227,44.893,1560.002
2021-01-05 14:00:00,2021-01-05 15:00:00,59.779,3.478,84.472,637.366,552.894,24.693,1362.682
2021-01-05 15:00:00,2021-01-05 16:00:00,32.47,2.804,46.905,435.117,388.212,14.435,919.943
2021-01-05 16:00:00,2021-01-05 17:00:00,3.999,0.623,10.493,129.279,118.786,6.494,269.674
2021-01-05 17:00:00,2021-01-05 18:00:00,-1.057,-0.12,-1.316,-3.31,-1.994,-0.259,-8.056
2021-01-05 18:00:00,2021-01-05 19:00:00,-1.332,-0.019,-1.576,-4.859,-3.283,-0.244,-11.313
2021-01-05 19:00:00,2021-01-05 20:00:00,-1.386,-0.018,-1.651,-4.734,-3.083,-0.265,-11.137
2021-01-05 20:00:00,2021-01-05 21:00:00,-1.344,-0.12,-1.58,-4.74,-3.16,-0.236,-11.18
2021-01-05 21:00:00,2021-01-05 22:00:00,-1.332,-0.019,-1.576,-4.696,-3.12,-0.244,-10.987
2021-01-05 22:00:00,2021-01-05 23:00:00,-1.34,-0.119,-1.583,-4.659,-3.076,-0.243,-11.02
2021-01-05 23:00:00,2021-01-06 00:00:00,-1.331,-0.019,-1.567,-4.692,-3.125,-0.236,-10.970
2021-01-06 00:00:00,2021-01-06 01:00:00,-1.38,-0.019,-1.609,-4.551,-2.942,-0.229,-10.73
2021-01-06 01:00:00,2021-01-06 02:00:00,-1.439,-0.119,-1.675,-4.519,-2.844,-0.236,-10.832
2021-01-06 02:00:00,2021-01-06 03:00:00,-1.408,-0.019,-1.644,-4.6,-2.956,-0.236,-10.863
2021-01-06 03:00:00,2021-01-06 04:00:00,-1.45,-0.12,-1.68,-4.812,-3.132,-0.23,-11.424
2021-01-06 04:00:00,2021-01-06 05:00:00,-1.438,-0.019,-1.667,-4.94,-3.273,-0.229,-11.566
2021-01-06 05:00:00,2021-01-06 06:00:00,-1.419,-0.019,-1.655,-4.827,-3.172,-0.236,-11.328
2021-01-06 06:00:00,2021-01-06 07:00:00,-1.415,-0.12,-1.666,-4.737,-3.071,-0.251,-11.26
2021-01-06 07:00:00,2021-01-06 08:00:00,8.726,1.116,8.606,18.722,10.116,-0.12,47.166
2021-01-06 08:00:00,2021-01-06 09:00:00,97.942,4.661,103.958,242.47,138.512,6.016,593.559
2021-01-06 09:00:00,2021-01-06 10:00:00,253.611,7.295,294.78,585.155,290.375,41.169,1472.385
2021-01-06 10:00:00,2021-01-06 11:00:00,388.287,11.232,446.72,810.668,363.948,58.433,2079.288
2021-01-06 11:00:00,2021-01-06 12:00:00,401.088,12.677,462.261,999.39,537.129,61.173,2473.718
2021-01-06 12:00:00,2021-01-06 13:00:00,359.461,12.827,432.767,957.973,525.206,73.306,2361.540
2021-01-06 13:00:00,2021-01-06 14:00:00,302.287,13.608,380.877,867.409,486.532,78.59,2129.303
2021-01-06 14:00:00,2021-01-06 15:00:00,209.865,17.384,272.163,664.804,392.641,62.298,1619.155
2021-01-06 15:00:00,2021-01-06 16:00:00,89.922,14.436,131.062,584.127,453.065,41.14,1313.752
2021-01-06 16:00:00,2021-01-06 17:00:00,10.041,2.41,23.503,192.173,168.67,13.462,410.259
2021-01-06 17:00:00,2021-01-06 18:00:00,-1.485,-0.021,-1.669,-4.194,-2.525,-0.184,-10.078
2021-01-06 18:00:00,2021-01-06 19:00:00,-1.359,-0.119,-1.61,-4.824,-3.214,-0.251,-11.377
2021-01-06 19:00:00,2021-01-06 20:00:00,-1.381,-0.019,-1.64,-4.937,-3.297,-0.259,-11.533
2021-01-06 20:00:00,2021-01-06 21:00:00,-1.415,-0.119,-1.666,-4.864,-3.198,-0.251,-11.513
2021-01-06 21:00:00,2021-01-06 22:00:00,-1.408,-0.02,-1.659,-4.887,-3.228,-0.251,-11.453
2021-01-06 22:00:00,2021-01-06 23:00:00,-1.396,-0.019,-1.647,-4.828,-3.181,-0.251,-11.322
2021-01-06 23:00:00,2021-01-07 00:00:00,-1.394,-0.119,-1.63,-4.806,-3.176,-0.236,-11.361
2021-01-07 00:00:00,2021-01-07 01:00:00,-1.439,-0.02,-1.69,-4.907,-3.217,-0.251,-11.524
2021-01-07 01:00:00,2021-01-07 02:00:00,-1.417,-0.018,-1.661,-4.72,-3.059,-0.244,-11.119
2021-01-07 02:00:00,2021-01-07 03:00:00,-1.438,-0.121,-1.674,-4.856,-3.182,-0.236,-11.507
2021-01-07 03:00:00,2021-01-07 04:00:00,-1.439,-0.018,-1.675,-4.921,-3.246,-0.236,-11.535
2021-01-07 04:00:00,2021-01-07 05:00:00,-1.468,-0.12,-1.711,-4.963,-3.252,-0.243,-11.757
2021-01-07 05:00:00,2021-01-07 06:00:00,-1.424,-0.018,-1.66,-4.868,-3.208,-0.236,-11.414
2021-01-07 06:00:00,2021-01-07 07:00:00,-1.431,-0.021,-1.696,-4.775,-3.079,-0.265,-11.267
2021-01-07 07:00:00,2021-01-07 08:00:00,15.005,1.772,15.92,53.039,37.119,0.915,123.77
2021-01-07 08:00:00,2021-01-07 09:00:00,179.329,13.407,205.758,761.65,555.892,26.429,1742.465
2021-01-07 09:00:00,2021-01-07 10:00:00,426.238,25.349,500.86,1644.323,1143.463,74.622,3814.855
2021-01-07 10:00:00,2021-01-07 11:00:00,573.151,30.074,686.145,1895.406,1209.261,112.994,4507.031
2021-01-07 11:00:00,2021-01-07 12:00:00,635.545,28.415,757.384,1886.707,1129.323,121.839,4559.213
2021-01-07 12:00:00,2021-01-07 13:00:00,635.474,26.437,747.564,1848.267,1100.703,112.09,4470.535
2021-01-07 13:00:00,2021-01-07 14:00:00,577.42,26.022,674.919,1809.023,1134.104,97.499,4318.987
2021-01-07 14:00:00,2021-01-07 15:00:00,444.508,24.679,526.416,1595.18,1068.764,81.908,3741.455
2021-01-07 15:00:00,2021-01-07 16:00:00,212.355,11.559,269.692,925.091,655.399,57.337,2131.433
2021-01-07 16:00:00,2021-01-07 17:00:00,26.482,3.795,36.582,177.086,140.504,10.1,394.549
2021-01-07 17:00:00,2021-01-07 18:00:00,-1.44,-0.122,-1.661,-4.377,-2.716,-0.221,-10.537
2021-01-07 18:00:00,2021-01-07 19:00:00,-1.4,-0.018,-1.636,-4.918,-3.282,-0.236,-11.49
2021-01-07 19:00:00,2021-01-07 20:00:00,-1.346,-0.119,-1.597,-4.836,-3.239,-0.251,-11.388
2021-01-07 20:00:00,2021-01-07 21:00:00,-1.523,-0.02,-1.766,-4.968,-3.202,-0.243,-11.722
2021-01-07 21:00:00,2021-01-07 22:00:00,-1.39,-0.019,-1.641,-4.811,-3.17,-0.251,-11.282
2021-01-07 22:00:00,2021-01-07 23:00:00,-1.52,-0.12,-1.771,-4.983,-3.212,-0.251,-11.857
2021-01-07 23:00:00,2021-01-08 00:00:00,-1.439,-0.018,-1.691,-4.872,-3.181,-0.252,-11.453
2021-01-08 00:00:00,2021-01-08 01:00:00,-1.392,-0.12,-1.643,-4.73,-3.087,-0.251,-11.223
2021-01-08 01:00:00,2021-01-08 02:00:00,-1.457,-0.018,-1.7,-4.78,-3.08,-0.243,-11.278
2021-01-08 02:00:00,2021-01-08 03:00:00,-1.418,-0.021,-1.654,-5.649,-3.995,-0.236,-12.973
2021-01-08 03:00:00,2021-01-08 04:00:00,-1.431,-0.119,-1.667,-4.779,-3.112,-0.236,-11.344
2021-01-08 04:00:00,2021-01-08 05:00:00,-1.437,-0.019,-1.68,-4.816,-3.136,-0.243,-11.331
2021-01-08 05:00:00,2021-01-08 06:00:00,-1.453,-0.119,-1.705,-4.76,-3.055,-0.252,-11.344
2021-01-08 06:00:00,2021-01-08 07:00:00,-1.373,-0.02,-1.616,-4.588,-2.972,-0.243,-10.812
2021-01-08 07:00:00,2021-01-08 08:00:00,9.903,0.242,10.083,10.962,0.879,0.18,32.249
2021-01-08 08:00:00,2021-01-08 09:00:00,82.155,2.645,92.875,156.06,63.185,10.72,407.64
2021-01-08 09:00:00,2021-01-08 10:00:00,189.596,12.493,220.264,441.916,221.652,30.668,1116.589
2021-01-08 10:00:00,2021-01-08 11:00:00,255.412,15.048,289.998,725.024,435.026,34.586,1755.094
2021-01-08 11:00:00,2021-01-08 12:00:00,232.769,17.233,293.09,812.29,519.2,60.321,1934.903
2021-01-08 12:00:00,2021-01-08 13:00:00,189.582,15.467,248.616,775.745,527.129,59.034,1815.573
2021-01-08 13:00:00,2021-01-08 14:00:00,194.859,13.273,250.22,695.377,445.157,55.361,1654.247
2021-01-08 14:00:00,2021-01-08 15:00:00,151.492,5.49,203.542,484.073,280.531,52.05,1177.178
2021-01-08 15:00:00,2021-01-08 16:00:00,61.462,4.278,95.897,257.303,161.406,34.435,614.781
2021-01-08 16:00:00,2021-01-08 17:00:00,10.026,3.148,22.41,70.963,48.553,12.384,167.484
2021-01-08 17:00:00,2021-01-08 18:00:00,-1.422,-0.121,-1.594,-5.581,-3.987,-0.172,-12.877
2021-01-08 18:00:00,2021-01-08 19:00:00,-1.456,-0.019,-1.739,-4.737,-2.998,-0.283,-11.232
2021-01-08 19:00:00,2021-01-08 20:00:00,-1.406,-0.018,-1.689,-4.74,-3.051,-0.283,-11.187
2021-01-08 20:00:00,2021-01-08 21:00:00,-1.423,-0.12,-1.706,-4.665,-2.959,-0.283,-11.156
2021-01-08 21:00:00,2021-01-08 22:00:00,-1.402,-0.019,-1.679,-4.758,-3.079,-0.277,-11.214
2021-01-08 22:00:00,2021-01-08 23:00:00,-1.425,-0.019,-1.708,-4.674,-2.966,-0.283,-11.075
2021-01-08 23:00:00,2021-01-09 00:00:00,-1.426,-0.12,-1.706,-4.71,-3.004,-0.28,-11.246
2021-01-09 00:00:00,2021-01-09 01:00:00,-1.428,-0.02,-1.711,-4.749,-3.038,-0.283,-11.229
2021-01-09 01:00:00,2021-01-09 02:00:00,-1.417,-0.119,-1.693,-4.87,-3.177,-0.276,-11.552
2021-01-09 02:00:00,2021-01-09 03:00:00,-1.446,-0.02,-1.722,-4.845,-3.123,-0.276,-11.432
2021-01-09 03:00:00,2021-01-09 04:00:00,-1.451,-0.019,-1.728,-4.807,-3.079,-0.277,-11.361
2021-01-09 04:00:00,2021-01-09 05:00:00,-1.421,-0.119,-1.711,-4.862,-3.151,-0.29,-11.554
2021-01-09 05:00:00,2021-01-09 06:00:00,-1.449,-0.019,-1.739,-4.937,-3.198,-0.29,-11.632
2021-01-09 06:00:00,2021-01-09 07:00:00,-1.431,-0.12,-1.707,-4.696,-2.989,-0.276,-11.219
2021-01-09 07:00:00,2021-01-09 08:00:00,11.635,0.549,12.641,44.736,32.095,1.006,102.662
2021-01-09 08:00:00,2021-01-09 09:00:00,153.483,11.161,186.564,752.782,566.218,33.081,1703.289
2021-01-09 09:00:00,2021-01-09 10:00:00,440.472,25.293,533.366,1688.589,1155.223,92.894,3935.837
2021-01-09 10:00:00,2021-01-09 11:00:00,589.732,27.091,738.894,1989.567,1250.673,149.162,4745.119
2021-01-09 11:00:00,2021-01-09 12:00:00,613.781,25.984,817.317,2025.743,1208.426,203.536,4894.787
2021-01-09 12:00:00,2021-01-09 13:00:00,554.435,23.262,769.98,1945.656,1175.676,215.545,4684.554
2021-01-09 13:00:00,2021-01-09 14:00:00,438.972,27.064,648.817,1858.289,1209.472,209.845,4392.459
2021-01-09 14:00:00,2021-01-09 15:00:00,316.826,24.077,510.898,1773.654,1262.756,194.072,4082.283
2021-01-09 15:00:00,2021-01-09 16:00:00,180.861,18.2,330.533,1354.005,1023.472,149.672,3056.743
2021-01-09 16:00:00,2021-01-09 17:00:00,28.384,3.505,74.617,333.305,258.688,46.233,744.732
2021-01-09 17:00:00,2021-01-09 18:00:00,-1.399,-0.023,-0.96,-1.925,-0.965,0.439,-4.833
2021-01-09 18:00:00,2021-01-09 19:00:00,-1.351,-0.019,-1.627,-5.014,-3.387,-0.276,-11.674
2021-01-09 19:00:00,2021-01-09 20:00:00,-1.35,-0.119,-1.631,-4.83,-3.199,-0.281,-11.41
2021-01-09 20:00:00,2021-01-09 21:00:00,-1.376,-0.02,-1.656,-4.866,-3.21,-0.28,-11.408
2021-01-09 21:00:00,2021-01-09 22:00:00,-1.362,-0.019,-1.638,-5.045,-3.407,-0.276,-11.747
2021-01-09 22:00:00,2021-01-09 23:00:00,-1.375,-0.02,-1.648,-4.86,-3.212,-0.273,-11.388
2021-01-09 23:00:00,2021-01-10 00:00:00,-1.377,-0.02,-1.635,-4.775,-3.14,-0.258,-11.205
2021-01-10 00:00:00,2021-01-10 01:00:00,-1.393,-0.02,-1.661,-4.863,-3.202,-0.268,-11.407
2021-01-10 01:00:00,2021-01-10 02:00:00,-1.413,-0.019,-1.672,-4.796,-3.124,-0.259,-11.283
2021-01-10 02:00:00,2021-01-10 03:00:00,-1.394,-0.02,-1.648,-4.832,-3.184,-0.254,-11.332
2021-01-10 03:00:00,2021-01-10 04:00:00,-1.425,-0.02,-1.683,-4.979,-3.296,-0.258,-11.661
2021-01-10 04:00:00,2021-01-10 05:00:00,-1.426,-0.019,-1.67,-4.951,-3.281,-0.244,-11.591
2021-01-10 05:00:00,2021-01-10 06:00:00,-1.379,-0.02,-1.644,-4.805,-3.161,-0.265,-11.274
2021-01-10 06:00:00,2021-01-10 07:00:00,-1.395,-0.02,-1.656,-4.642,-2.986,-0.261,-10.96
2021-01-10 07:00:00,2021-01-10 08:00:00,17.158,2.294,18.318,64.278,45.96,1.16,149.168
2021-01-10 08:00:00,2021-01-10 09:00:00,187.472,16.839,236.048,849.53,613.482,48.576,1951.947
2021-01-10 09:00:00,2021-01-10 10:00:00,439.184,31.329,596.033,1815.859,1219.826,156.849,4259.080
2021-01-10 10:00:00,2021-01-10 11:00:00,579.331,34.342,797.408,2076.033,1278.625,218.077,4983.816
2021-01-10 11:00:00,2021-01-10 12:00:00,647.664,34.029,857.711,2071.112,1213.401,210.047,5033.964
2021-01-10 12:00:00,2021-01-10 13:00:00,646.898,33.293,851.513,2030.316,1178.803,204.615,4945.438
2021-01-10 13:00:00,2021-01-10 14:00:00,594.589,32.236,783.428,2001.014,1217.586,188.839,4817.692
2021-01-10 14:00:00,2021-01-10 15:00:00,468.344,28.782,633.808,1895.658,1261.85,165.464,4453.906
2021-01-10 15:00:00,2021-01-10 16:00:00,239.604,17.61,364.715,1385.393,1020.678,125.111,3153.111
2021-01-10 16:00:00,2021-01-10 17:00:00,41.475,3.469,84.001,349.908,265.907,42.526,787.286
2021-01-10 17:00:00,2021-01-10 18:00:00,1.704,-0.006,3.948,2.811,-1.137,2.244,9.564
2021-01-10 18:00:00,2021-01-10 19:00:00,1.571,-0.019,1.298,-2.05,-3.348,-0.273,-2.821
2021-01-10 19:00:00,2021-01-10 20:00:00,1.575,-0.019,1.295,-2.066,-3.361,-0.28,-2.856
2021-01-10 20:00:00,2021-01-10 21:00:00,1.573,-0.021,1.315,-1.907,-3.222,-0.258,-2.520
