timestamp_begin_ct,timestamp_end_ct,Coastal,North,Panhandle,South,West,System Total
2021-01-02 15:00:00,2021-01-02 16:00:00,300.14,336.19,2341.93,562.26,6404.41,9944.93
2021-01-02 16:00:00,2021-01-02 17:00:00,187.96,270.96,2102.1,451.94,6801.0,9813.96
2021-01-02 17:00:00,2021-01-02 18:00:00,254.23,232.07,1901.9,369.68,7885.99,10643.87
2021-01-02 18:00:00,2021-01-02 19:00:00,361.27,341.21,1964.89,503.18,10191.44,13361.99
2021-01-02 19:00:00,2021-01-02 20:00:00,300.92,495.85,2220.91,725.19,11561.65,15304.52
2021-01-02 20:00:00,2021-01-02 21:00:00,249.16,829.57,2211.31,897.57,12089.34,16276.95
2021-01-02 21:00:00,2021-01-02 22:00:00,237.4,1131.87,2036.46,1028.96,11976.94,16411.63
2021-01-02 22:00:00,2021-01-02 23:00:00,285.45,1164.87,1713.13,1352.2,11582.47,16098.12
2021-01-02 23:00:00,2021-01-03 00:00:00,350.37,1113.99,1469.26,1781.01,11458.99,16173.62
2021-01-03 00:00:00,2021-01-03 01:00:00,424.1,1089.16,1396.98,2157.62,11367.68,16435.54
2021-01-03 01:00:00,2021-01-03 02:00:00,325.83,1102.37,1219.08,2320.62,11304.07,16271.97
2021-01-03 02:00:00,2021-01-03 03:00:00,327.2,1074.47,1749.74,2296.89,11133.83,16582.13
2021-01-03 03:00:00,2021-01-03 04:00:00,333.01,1057.64,1967.31,2140.8,11202.93,16701.69
2021-01-03 04:00:00,2021-01-03 05:00:00,397.58,1066.0,2419.95,1984.62,10861.45,16729.6
2021-01-03 05:00:00,2021-01-03 06:00:00,318.49,1030.79,2918.54,1673.66,10179.32,16120.8
2021-01-03 06:00:00,2021-01-03 07:00:00,236.88,985.32,2888.74,1771.29,9910.6,15792.83
2021-01-03 07:00:00,2021-01-03 08:00:00,267.74,980.19,2580.95,1919.04,9954.73,15702.65
2021-01-03 08:00:00,2021-01-03 09:00:00,348.57,970.91,2366.33,1844.94,9246.63,14777.38
2021-01-03 09:00:00,2021-01-03 10:00:00,457.9,741.12,1232.9,1345.52,7299.91,11077.35
2021-01-03 10:00:00,2021-01-03 11:00:00,411.65,557.71,386.34,1451.25,5442.39,8249.34
2021-01-03 11:00:00,2021-01-03 12:00:00,699.96,542.26,143.8,1194.1,4009.37,6589.49
2021-01-03 12:00:00,2021-01-03 13:00:00,554.52,578.06,97.79,1057.28,3220.69,5508.34
2021-01-03 13:00:00,2021-01-03 14:00:00,492.28,575.16,14.56,1046.8,2483.33,4612.13
2021-01-03 14:00:00,2021-01-03 15:00:00,572.02,520.9,58.19,896.4,1747.77,3795.28
2021-01-03 15:00:00,2021-01-03 16:00:00,912.97,479.6,137.25,696.5,1269.01,3495.33
2021-01-03 16:00:00,2021-01-03 17:00:00,1199.93,327.05,264.05,399.03,1100.87,3290.93
2021-01-03 17:00:00,2021-01-03 18:00:00,1206.7,235.91,470.17,285.4,1548.1,3746.28
2021-01-03 18:00:00,2021-01-03 19:00:00,1326.4,311.0,601.74,425.24,2840.38,5504.76
2021-01-03 19:00:00,2021-01-03 20:00:00,1639.69,290.49,1157.93,807.0,4333.56,8228.67
2021-01-03 20:00:00,2021-01-03 21:00:00,1799.91,266.92,1924.94,1525.55,5047.33,10564.65
2021-01-03 21:00:00,2021-01-03 22:00:00,1866.12,251.07,2542.28,2020.86,5659.11,12339.44
2021-01-03 22:00:00,2021-01-03 23:00:00,1812.24,258.1,2436.29,2093.75,6626.69,13227.07
2021-01-03 23:00:00,2021-01-04 00:00:00,1880.29,264.12,1892.15,2337.58,7494.63,13868.77
2021-01-04 00:00:00,2021-01-04 01:00:00,1790.7,203.82,1537.19,2446.27,8167.55,14145.53
2021-01-04 01:00:00,2021-01-04 02:00:00,1687.84,300.14,1409.6,2448.75,8079.17,13925.5
2021-01-04 02:00:00,2021-01-04 03:00:00,1604.05,548.42,1377.54,2312.29,7669.53,13511.83
2021-01-04 03:00:00,2021-01-04 04:00:00,1354.9,556.32,1609.23,2260.42,7703.24,13484.11
2021-01-04 04:00:00,2021-01-04 05:00:00,1192.59,592.99,2093.22,1843.8,7750.77,13473.37
2021-01-04 05:00:00,2021-01-04 06:00:00,1027.71,599.71,2669.31,1696.16,7961.99,13954.88
2021-01-04 06:00:00,2021-01-04 07:00:00,1107.57,574.91,3169.18,1595.87,7961.36,14408.89
2021-01-04 07:00:00,2021-01-04 08:00:00,1112.11,534.7,3323.11,1531.92,7362.55,13864.39
2021-01-04 08:00:00,2021-01-04 09:00:00,660.51,389.98,3294.38,1302.35,6527.85,12175.07
2021-01-04 09:00:00,2021-01-04 10:00:00,268.35,221.46,3069.27,771.05,5799.28,10129.41
2021-01-04 10:00:00,2021-01-04 11:00:00,310.82,71.93,3182.95,504.69,5041.58,9111.97
2021-01-04 11:00:00,2021-01-04 12:00:00,322.26,60.01,3089.19,362.76,4325.55,8159.77
2021-01-04 12:00:00,2021-01-04 13:00:00,294.49,146.16,2421.2,447.34,4346.36,7655.55
2021-01-04 13:00:00,2021-01-04 14:00:00,169.69,186.44,1513.65,593.87,4437.06,6900.71
2021-01-04 14:00:00,2021-01-04 15:00:00,139.09,186.36,812.9,525.35,3947.21,5610.91
2021-01-04 15:00:00,2021-01-04 16:00:00,208.56,252.98,317.18,474.52,3413.78,4667.02
2021-01-04 16:00:00,2021-01-04 17:00:00,395.95,297.53,117.94,380.01,2649.15,3840.58
2021-01-04 17:00:00,2021-01-04 18:00:00,619.64,239.05,46.38,288.38,1867.29,3060.74
2021-01-04 18:00:00,2021-01-04 19:00:00,798.14,298.44,31.47,368.48,1990.26,3486.79
2021-01-04 19:00:00,2021-01-04 20:00:00,871.31,408.72,31.86,351.86,1719.03,3382.78
2021-01-04 20:00:00,2021-01-04 21:00:00,758.58,457.74,136.14,342.22,1414.67,3109.35
2021-01-04 21:00:00,2021-01-04 22:00:00,742.85,471.73,475.49,564.88,1130.11,3385.06
2021-01-04 22:00:00,2021-01-04 23:00:00,689.25,416.55,1088.89,472.43,918.38,3585.5
2021-01-04 23:00:00,2021-01-05 00:00:00,690.64,396.91,1795.26,315.86,830.35,4029.02
2021-01-05 00:00:00,2021-01-05 01:00:00,667.72,307.26,2405.39,276.0,876.11,4532.48
2021-01-05 01:00:00,2021-01-05 02:00:00,439.61,221.38,2565.28,251.72,963.82,4441.81
2021-01-05 02:00:00,2021-01-05 03:00:00,251.79,172.02,2785.5,245.46,1086.77,4541.54
2021-01-05 03:00:00,2021-01-05 04:00:00,138.03,142.08,2863.81,246.78,1330.65,4721.35
2021-01-05 04:00:00,2021-01-05 05:00:00,98.35,152.42,3024.41,211.75,1522.6,5009.53
2021-01-05 05:00:00,2021-01-05 06:00:00,117.94,187.21,3254.36,173.32,1916.51,5649.34
2021-01-05 06:00:00,2021-01-05 07:00:00,88.59,325.27,3295.46,190.04,2198.09,6097.45
2021-01-05 07:00:00,2021-01-05 08:00:00,53.74,489.94,3297.46,313.25,3199.68,7354.07
2021-01-05 08:00:00,2021-01-05 09:00:00,20.77,694.31,3298.54,431.05,4748.51,9193.18
2021-01-05 09:00:00,2021-01-05 10:00:00,4.15,513.06,3290.21,422.98,4702.03,8932.43
2021-01-05 10:00:00,2021-01-05 11:00:00,12.83,327.55,3325.03,469.5,4403.07,8537.98
2021-01-05 11:00:00,2021-01-05 12:00:00,76.98,421.99,3341.74,862.68,5708.24,10411.63
2021-01-05 12:00:00,2021-01-05 13:00:00,265.95,515.41,3338.03,1093.12,6259.44,11471.95
2021-01-05 13:00:00,2021-01-05 14:00:00,514.72,573.25,3338.12,1318.07,7130.07,12874.23
2021-01-05 14:00:00,2021-01-05 15:00:00,984.37,645.63,3328.91,1445.29,7986.24,14390.44
2021-01-05 15:00:00,2021-01-05 16:00:00,1583.8,777.55,3335.07,1393.31,7958.67,15048.4
2021-01-05 16:00:00,2021-01-05 17:00:00,2154.31,689.68,3320.54,1404.11,7437.71,15006.35
2021-01-05 17:00:00,2021-01-05 18:00:00,2215.32,741.92,3309.5,1454.42,7730.13,15451.29
2021-01-05 18:00:00,2021-01-05 19:00:00,1895.32,1053.75,3348.3,2176.29,10080.64,18554.3
2021-01-05 19:00:00,2021-01-05 20:00:00,2104.84,1115.45,3322.36,2545.03,10989.56,20077.24
2021-01-05 20:00:00,2021-01-05 21:00:00,2371.71,1173.65,3283.79,2467.32,11487.49,20783.96
2021-01-05 21:00:00,2021-01-05 22:00:00,2433.68,1163.04,3294.29,2450.05,11580.77,20921.83
2021-01-05 22:00:00,2021-01-05 23:00:00,2491.7,1159.76,3265.14,2582.97,11275.73,20775.3
2021-01-05 23:00:00,2021-01-06 00:00:00,2395.7,1101.92,3129.66,2564.28,10770.81,19962.37
2021-01-06 00:00:00,2021-01-06 01:00:00,2226.27,1026.93,3138.96,2477.35,10040.04,18909.55
2021-01-06 01:00:00,2021-01-06 02:00:00,1972.33,979.05,3122.15,2443.0,9687.62,18204.15
2021-01-06 02:00:00,2021-01-06 03:00:00,2135.9,944.52,3164.91,2234.85,9150.53,17630.71
2021-01-06 03:00:00,2021-01-06 04:00:00,2088.9,913.54,3220.23,1921.51,9074.01,17218.19
2021-01-06 04:00:00,2021-01-06 05:00:00,1929.94,841.39,3187.67,1707.83,10063.75,17730.58
2021-01-06 05:00:00,2021-01-06 06:00:00,2094.93,771.73,3216.36,1712.04,11345.43,19140.49
2021-01-06 06:00:00,2021-01-06 07:00:00,2165.66,655.99,3285.11,1644.55,11887.63,19638.94
2021-01-06 07:00:00,2021-01-06 08:00:00,2038.17,614.78,3309.02,1879.22,12201.91,20043.1
2021-01-06 08:00:00,2021-01-06 09:00:00,1973.91,618.34,3317.82,1455.52,12048.49,19414.08
2021-01-06 09:00:00,2021-01-06 10:00:00,1871.93,638.3,3271.74,1510.21,12070.64,19362.82
2021-01-06 10:00:00,2021-01-06 11:00:00,2261.29,790.9,3257.48,1552.86,12600.81,20463.34
2021-01-06 11:00:00,2021-01-06 12:00:00,2438.4,892.98,3223.05,1384.74,12195.43,20134.6
2021-01-06 12:00:00,2021-01-06 13:00:00,2351.77,1001.26,3247.35,1464.67,12101.61,20166.66
2021-01-06 13:00:00,2021-01-06 14:00:00,2129.17,1022.71,3217.19,1795.02,12030.79,20194.88
2021-01-06 14:00:00,2021-01-06 15:00:00,1553.34,1036.27,3219.04,2367.99,11918.12,20094.76
2021-01-06 15:00:00,2021-01-06 16:00:00,1433.79,1081.64,3217.37,2710.13,11948.62,20391.55
2021-01-06 16:00:00,2021-01-06 17:00:00,2087.44,921.93,3236.92,2862.52,11748.89,20857.7
2021-01-06 17:00:00,2021-01-06 18:00:00,2646.26,903.0,3314.84,2610.68,9951.91,19426.69
2021-01-06 18:00:00,2021-01-06 19:00:00,2813.0,893.45,3217.11,2516.4,8718.03,18157.99
2021-01-06 19:00:00,2021-01-06 20:00:00,2945.48,908.49,2949.73,2574.77,9425.53,18804.0
2021-01-06 20:00:00,2021-01-06 21:00:00,2988.25,901.58,2598.42,2564.82,9665.22,18718.29
2021-01-06 21:00:00,2021-01-06 22:00:00,3016.8,883.01,2159.9,2483.18,9874.4,18417.29
2021-01-06 22:00:00,2021-01-06 23:00:00,2880.69,902.46,2027.23,2562.14,9946.88,18319.4
2021-01-06 23:00:00,2021-01-07 00:00:00,2785.3,964.24,2017.07,2609.61,9383.39,17759.61
2021-01-07 00:00:00,2021-01-07 01:00:00,2852.76,1067.17,2101.52,2475.03,8633.89,17130.37
2021-01-07 01:00:00,2021-01-07 02:00:00,2857.39,1056.86,2232.1,2338.05,7826.26,16310.66
2021-01-07 02:00:00,2021-01-07 03:00:00,2639.79,1118.25,2079.8,2427.47,7703.04,15968.35
2021-01-07 03:00:00,2021-01-07 04:00:00,2474.82,1140.4,1831.35,2590.56,7118.09,15155.22
2021-01-07 04:00:00,2021-01-07 05:00:00,2488.63,1160.65,1541.85,2543.63,6200.64,13935.4
2021-01-07 05:00:00,2021-01-07 06:00:00,2281.07,1153.88,1553.48,2545.0,5622.0,13155.43
2021-01-07 06:00:00,2021-01-07 07:00:00,2325.6,1121.19,1419.04,2433.76,5444.13,12743.72
2021-01-07 07:00:00,2021-01-07 08:00:00,2118.49,1123.29,1338.56,2057.29,5033.1,11670.73
2021-01-07 08:00:00,2021-01-07 09:00:00,1828.76,998.84,1178.07,1557.78,4607.21,10170.66
2021-01-07 09:00:00,2021-01-07 10:00:00,1276.59,882.51,689.54,837.8,3300.95,6987.39
2021-01-07 10:00:00,2021-01-07 11:00:00,1610.19,785.27,455.62,682.6,2785.95,6319.63
2021-01-07 11:00:00,2021-01-07 12:00:00,1493.95,812.15,447.68,581.54,2233.64,5568.96
2021-01-07 12:00:00,2021-01-07 13:00:00,1326.68,729.88,352.19,575.0,1797.05,4780.8
2021-01-07 13:00:00,2021-01-07 14:00:00,1506.42,623.24,236.78,673.3,1483.58,4523.32
2021-01-07 14:00:00,2021-01-07 15:00:00,1523.35,593.29,152.12,564.62,1152.76,3986.14
2021-01-07 15:00:00,2021-01-07 16:00:00,1392.41,520.15,107.98,413.47,876.13,3310.14
2021-01-07 16:00:00,2021-01-07 17:00:00,1034.2,399.36,154.59,241.0,837.75,2666.9
2021-01-07 17:00:00,2021-01-07 18:00:00,616.35,326.56,361.61,133.15,936.33,2374.0
2021-01-07 18:00:00,2021-01-07 19:00:00,371.2,418.83,762.17,149.32,1530.47,3231.99
2021-01-07 19:00:00,2021-01-07 20:00:00,292.11,499.36,956.91,306.3,2696.97,4751.65
2021-01-07 20:00:00,2021-01-07 21:00:00,274.73,444.87,1041.69,476.38,3768.23,6005.9
2021-01-07 21:00:00,2021-01-07 22:00:00,491.07,458.97,1446.45,680.45,3915.12,6992.06
2021-01-07 22:00:00,2021-01-07 23:00:00,764.78,364.54,1396.12,916.1,4334.25,7775.79
2021-01-07 23:00:00,2021-01-08 00:00:00,980.18,383.09,1142.65,1157.23,4595.45,8258.6
2021-01-08 00:00:00,2021-01-08 01:00:00,1132.59,297.74,982.84,1172.69,4241.46,7827.32
2021-01-08 01:00:00,2021-01-08 02:00:00,1200.88,264.99,757.56,1209.18,3981.86,7414.47
2021-01-08 02:00:00,2021-01-08 03:00:00,1128.19,258.83,452.45,1280.64,4012.82,7132.93
2021-01-08 03:00:00,2021-01-08 04:00:00,1053.03,291.25,316.1,1317.2,4063.85,7041.43
2021-01-08 04:00:00,2021-01-08 05:00:00,1002.08,298.89,268.12,1216.69,3556.83,6342.61
2021-01-08 05:00:00,2021-01-08 06:00:00,1157.51,397.88,176.66,1501.85,3462.89,6696.79
2021-01-08 06:00:00,2021-01-08 07:00:00,1319.42,514.93,157.61,2004.4,3374.02,7370.38
2021-01-08 07:00:00,2021-01-08 08:00:00,1316.48,514.99,96.87,2086.32,3080.21,7094.87
2021-01-08 08:00:00,2021-01-08 09:00:00,1129.01,433.77,124.79,1888.14,2939.42,6515.13
2021-01-08 09:00:00,2021-01-08 10:00:00,874.11,384.98,189.39,1453.99,2807.5,5709.97
2021-01-08 10:00:00,2021-01-08 11:00:00,996.88,342.31,60.6,1074.21,2631.83,5105.83
2021-01-08 11:00:00,2021-01-08 12:00:00,844.41,238.34,15.32,623.42,1618.99,3340.48
2021-01-08 12:00:00,2021-01-08 13:00:00,647.74,145.38,14.65,256.91,980.71,2045.39
2021-01-08 13:00:00,2021-01-08 14:00:00,625.14,108.78,18.44,125.19,701.58,1579.13
2021-01-08 14:00:00,2021-01-08 15:00:00,728.02,117.36,9.72,109.61,579.19,1543.9
2021-01-08 15:00:00,2021-01-08 16:00:00,820.64,118.08,5.24,175.81,717.95,1837.72
2021-01-08 16:00:00,2021-01-08 17:00:00,775.1,116.15,2.42,263.07,837.13,1993.87
2021-01-08 17:00:00,2021-01-08 18:00:00,649.63,118.83,28.81,526.36,859.16,2182.79
2021-01-08 18:00:00,2021-01-08 19:00:00,570.51,139.75,100.5,1259.63,920.75,2991.14
2021-01-08 19:00:00,2021-01-08 20:00:00,748.22,191.82,111.39,1760.49,1017.63,3829.55
2021-01-08 20:00:00,2021-01-08 21:00:00,725.07,253.98,246.8,1878.19,1239.81,4343.85
2021-01-08 21:00:00,2021-01-08 22:00:00,691.57,284.57,442.31,1872.02,1297.9,4588.37
2021-01-08 22:00:00,2021-01-08 23:00:00,618.42,319.2,568.01,1682.54,1302.34,4490.51
2021-01-08 23:00:00,2021-01-09 00:00:00,662.52,310.15,641.88,1597.34,1067.09,4278.98
2021-01-09 00:00:00,2021-01-09 01:00:00,844.27,257.76,512.75,1354.46,980.21,3949.45
2021-01-09 01:00:00,2021-01-09 02:00:00,1111.58,239.46,469.27,1303.92,1236.1,4360.33
2021-01-09 02:00:00,2021-01-09 03:00:00,969.24,216.48,407.15,1547.47,1064.72,4205.06
2021-01-09 03:00:00,2021-01-09 04:00:00,894.61,196.67,282.02,1687.56,902.11,3962.97
2021-01-09 04:00:00,2021-01-09 05:00:00,940.29,240.56,176.41,1539.36,769.51,3666.13
2021-01-09 05:00:00,2021-01-09 06:00:00,1317.4,247.31,90.26,1519.82,711.02,3885.81
2021-01-09 06:00:00,2021-01-09 07:00:00,1375.55,140.29,85.86,1509.77,911.7,4023.17
2021-01-09 07:00:00,2021-01-09 08:00:00,1705.48,102.0,146.63,1445.9,1108.68,4508.69
2021-01-09 08:00:00,2021-01-09 09:00:00,1410.86,130.42,191.55,1070.62,1102.3,3905.75
2021-01-09 09:00:00,2021-01-09 10:00:00,1209.86,65.26,154.73,1003.96,1045.55,3479.36
2021-01-09 10:00:00,2021-01-09 11:00:00,1421.17,38.59,168.79,953.2,1209.17,3790.92
2021-01-09 11:00:00,2021-01-09 12:00:00,1697.05,47.07,314.93,722.08,1633.54,4414.67
2021-01-09 12:00:00,2021-01-09 13:00:00,1411.32,51.66,474.45,594.51,1747.27,4279.21
2021-01-09 13:00:00,2021-01-09 14:00:00,1041.62,46.41,459.31,435.67,1941.65,3924.66
2021-01-09 14:00:00,2021-01-09 15:00:00,1124.85,31.37,491.51,600.84,1840.55,4089.12
2021-01-09 15:00:00,2021-01-09 16:00:00,935.33,41.54,645.79,732.51,2623.53,4978.7
2021-01-09 16:00:00,2021-01-09 17:00:00,1047.76,114.88,726.53,1043.3,3616.37,6548.84
2021-01-09 17:00:00,2021-01-09 18:00:00,1350.99,331.39,718.74,1279.88,4390.49,8071.49
2021-01-09 18:00:00,2021-01-09 19:00:00,1068.6,338.02,802.8,1296.97,5071.96,8578.35
2021-01-09 19:00:00,2021-01-09 20:00:00,1231.74,370.74,1105.42,997.2,5715.56,9420.66
2021-01-09 20:00:00,2021-01-09 21:00:00,1481.79,399.96,948.93,1095.25,5546.8,9472.73
2021-01-09 21:00:00,2021-01-09 22:00:00,1630.66,387.95,719.54,1204.84,5918.67,9861.66
2021-01-09 22:00:00,2021-01-09 23:00:00,1968.28,333.52,902.38,1398.85,7293.19,11896.22
2021-01-09 23:00:00,2021-01-10 00:00:00,2182.26,207.35,899.42,1644.27,7429.18,12362.48
2021-01-10 00:00:00,2021-01-10 01:00:00,1967.53,198.45,580.64,1925.02,5819.19,10490.83
2021-01-10 01:00:00,2021-01-10 02:00:00,1895.46,317.78,735.46,2081.32,5546.74,10576.76
2021-01-10 02:00:00,2021-01-10 03:00:00,1907.48,453.77,959.6,2138.76,6171.29,11630.9
2021-01-10 03:00:00,2021-01-10 04:00:00,1977.81,455.25,1125.34,1888.92,5739.19,11186.51
2021-01-10 04:00:00,2021-01-10 05:00:00,2268.06,411.37,1030.17,1552.91,5863.16,11125.67
2021-01-10 05:00:00,2021-01-10 06:00:00,2252.71,363.57,981.84,1196.23,4925.91,9720.26
2021-01-10 06:00:00,2021-01-10 07:00:00,2156.62,433.38,682.43,910.15,4802.77,8985.35
2021-01-10 07:00:00,2021-01-10 08:00:00,1989.46,300.26,429.24,910.26,4551.48,8180.7
2021-01-10 08:00:00,2021-01-10 09:00:00,1804.89,349.2,297.54,1501.13,4021.71,7974.47
2021-01-10 09:00:00,2021-01-10 10:00:00,1719.68,358.86,281.31,1993.95,3894.41,8248.21
2021-01-10 10:00:00,2021-01-10 11:00:00,1921.33,417.34,296.79,2155.29,3910.72,8701.47
2021-01-10 11:00:00,2021-01-10 12:00:00,2527.22,497.42,333.46,2240.9,3562.18,9161.18
2021-01-10 12:00:00,2021-01-10 13:00:00,2867.21,443.88,333.15,2224.78,3077.48,8946.5
2021-01-10 13:00:00,2021-01-10 14:00:00,2896.68,436.8,307.19,2251.12,2672.19,8563.98
2021-01-10 14:00:00,2021-01-10 15:00:00,2905.96,516.91,296.61,2245.71,2456.33,8421.52
2021-01-10 15:00:00,2021-01-10 16:00:00,2908.04,518.28,224.74,2297.18,2432.43,8380.67
2021-01-10 16:00:00,2021-01-10 17:00:00,2938.76,470.16,131.99,2254.93,2141.43,7937.27
2021-01-10 17:00:00,2021-01-10 18:00:00,2966.03,563.8,119.95,2322.43,1986.29,7958.5
2021-01-10 18:00:00,2021-01-10 19:00:00,3090.38,638.06,211.7,2247.28,1673.74,7861.16
2021-01-10 19:00:00,2021-01-10 20:00:00,3034.24,716.73,362.71,2198.95,1613.16,7925.79
2021-01-10 20:00:00,2021-01-10 21:00:00,3225.75,655.61,400.22,2074.83,1794.95,8151.36
2021-01-10 21:00:00,2021-01-10 22:00:00,3287.32,615.17,366.97,1864.59,1993.41,8127.46
2021-01-10 22:00:00,2021-01-10 23:00:00,3136.07,524.04,340.23,1718.63,1901.0,7619.97
2021-01-10 23:00:00,2021-01-11 00:00:00,2850.89,430.31,354.35,1714.78,1837.57,7187.9
2021-01-11 00:00:00,2021-01-11 01:00:00,3103.69,319.0,386.52,1564.35,1833.85,7207.41
2021-01-11 01:00:00,2021-01-11 02:00:00,3007.46,270.25,326.22,1527.31,1479.36,6610.6
2021-01-11 02:00:00,2021-01-11 03:00:00,2615.39,335.64,258.64,1161.77,1111.43,5482.87
2021-01-11 03:00:00,2021-01-11 04:00:00,2334.56,335.43,136.75,1189.13,826.11,4821.98
2021-01-11 04:00:00,2021-01-11 05:00:00,2090.67,234.81,120.71,1289.81,784.36,4520.36
2021-01-11 05:00:00,2021-01-11 06:00:00,1950.11,182.82,208.98,1512.75,1002.12,4856.78
2021-01-11 06:00:00,2021-01-11 07:00:00,1597.58,158.12,310.79,1536.96,985.5,4588.95
2021-01-11 07:00:00,2021-01-11 08:00:00,1865.97,170.61,335.06,1340.92,969.81,4682.37
2021-01-11 08:00:00,2021-01-11 09:00:00,2075.57,143.52,361.41,1424.19,707.63,4712.32
2021-01-11 09:00:00,2021-01-11 10:00:00,2583.16,88.73,343.29,1435.33,316.83,4767.34
2021-01-11 10:00:00,2021-01-11 11:00:00,2893.9,67.06,236.91,1501.54,78.29,4777.7
2021-01-11 11:00:00,2021-01-11 12:00:00,2592.18,47.33,288.73,1250.14,17.52,4195.9
2021-01-11 12:00:00,2021-01-11 13:00:00,2141.65,38.28,476.25,1003.07,19.72,3678.97
2021-01-11 13:00:00,2021-01-11 14:00:00,1596.18,32.18,760.81,756.56,61.89,3207.62
2021-01-11 14:00:00,2021-01-11 15:00:00,1280.65,23.82,965.39,585.09,100.96,2955.91
2021-01-11 15:00:00,2021-01-11 16:00:00,882.39,31.34,825.64,461.46,216.95,2417.78
2021-01-11 16:00:00,2021-01-11 17:00:00,637.55,36.78,717.99,299.03,333.17,2024.52
2021-01-11 17:00:00,2021-01-11 18:00:00,545.19,25.19,774.03,210.55,519.27,2074.23
2021-01-11 18:00:00,2021-01-11 19:00:00,569.72,54.39,1026.13,175.63,494.97,2320.84
