timestamp_begin_et,timestamp_end_et,MIDATL,RFC,RTO,SOUTH,WEST,OTHER,System Total
2021-01-02 19:00:00,2021-01-02 20:00:00,50.481,321.733,321.109,-0.624,271.252,,963.951
2021-01-02 20:00:00,2021-01-02 21:00:00,47.265,386.111,421.821,35.71,338.846,,1229.753
2021-01-02 21:00:00,2021-01-02 22:00:00,123.672,581.206,654.369,73.163,457.534,,1889.944
2021-01-02 22:00:00,2021-01-02 23:00:00,157.138,698.195,811.501,113.306,541.057,,2321.197
2021-01-02 23:00:00,2021-01-03 00:00:00,207.428,714.389,803.586,89.197,506.961,,2321.561
2021-01-03 00:00:00,2021-01-03 01:00:00,292.849,946.642,1020.549,73.907,653.793,,2987.740
2021-01-03 01:00:00,2021-01-03 02:00:00,396.533,1134.337,1203.915,69.578,737.804,,3542.167
2021-01-03 02:00:00,2021-01-03 03:00:00,496.294,1231.455,1389.537,158.082,735.161,,4010.529
2021-01-03 03:00:00,2021-01-03 04:00:00,462.54,965.726,1144.219,178.493,503.186,,3254.164
2021-01-03 04:00:00,2021-01-03 05:00:00,331.943,747.406,911.636,164.23,415.463,,2570.678
2021-01-03 05:00:00,2021-01-03 06:00:00,391.952,839.583,960.549,120.966,447.631,,2760.681
2021-01-03 06:00:00,2021-01-03 07:00:00,502.685,1091.587,1201.007,109.42,588.902,,3493.601
2021-01-03 07:00:00,2021-01-03 08:00:00,588.848,1271.36,1415.183,143.823,682.512,,4101.726
2021-01-03 08:00:00,2021-01-03 09:00:00,704.722,1349.458,1480.998,131.54,644.736,,4311.454
2021-01-03 09:00:00,2021-01-03 10:00:00,668.08,1284.403,1377.158,92.755,616.323,,4038.719
2021-01-03 10:00:00,2021-01-03 11:00:00,523.064,1196.174,1234.245,38.071,673.11,,3664.664
2021-01-03 11:00:00,2021-01-03 12:00:00,317.664,1327.043,1343.304,16.261,1009.379,,4013.651
2021-01-03 12:00:00,2021-01-03 13:00:00,187.605,1443.491,1475.514,32.023,1255.886,,4394.519
2021-01-03 13:00:00,2021-01-03 14:00:00,176.743,1522.654,1579.831,57.177,1345.911,,4682.316
2021-01-03 14:00:00,2021-01-03 15:00:00,217.402,1339.42,1426.187,86.767,1122.018,,4191.794
2021-01-03 15:00:00,2021-01-03 16:00:00,236.439,1034.981,1152.529,117.548,798.542,,3340.039
2021-01-03 16:00:00,2021-01-03 17:00:00,228.136,898.38,1009.126,110.746,670.244,,2916.632
2021-01-03 17:00:00,2021-01-03 18:00:00,238.71,828.984,952.041,123.057,590.274,,2733.066
2021-01-03 18:00:00,2021-01-03 19:00:00,270.333,786.952,931.218,144.266,516.619,,2649.388
2021-01-03 19:00:00,2021-01-03 20:00:00,243.104,670.148,830.043,159.895,427.044,,2330.234
2021-01-03 20:00:00,2021-01-03 21:00:00,229.846,617.078,770.37,153.292,387.232,,2157.818
2021-01-03 21:00:00,2021-01-03 22:00:00,193.82,536.235,674.806,138.571,342.415,,1885.847
2021-01-03 22:00:00,2021-01-03 23:00:00,110.136,466.461,598.308,131.847,356.325,,1663.077
2021-01-03 23:00:00,2021-01-04 00:00:00,86.029,420.411,535.638,115.227,334.382,,1491.687
2021-01-04 00:00:00,2021-01-04 01:00:00,81.333,375.106,524.385,149.279,293.773,,1423.876
2021-01-04 01:00:00,2021-01-04 02:00:00,72.78,308.528,469.372,160.844,235.748,,1247.272
2021-01-04 02:00:00,2021-01-04 03:00:00,72.427,273.768,405.138,131.37,201.341,,1084.044
2021-01-04 03:00:00,2021-01-04 04:00:00,66.257,317.747,430.472,112.725,251.49,,1178.691
2021-01-04 04:00:00,2021-01-04 05:00:00,72.588,354.129,475.066,120.937,281.541,,1304.261
2021-01-04 05:00:00,2021-01-04 06:00:00,83.981,365.067,475.542,110.475,281.086,,1316.151
2021-01-04 06:00:00,2021-01-04 07:00:00,65.834,255.199,372.811,117.612,189.365,,1000.821
2021-01-04 07:00:00,2021-01-04 08:00:00,53.738,198.705,323.571,124.866,144.967,,845.847
2021-01-04 08:00:00,2021-01-04 09:00:00,31.152,197.404,317.183,119.779,166.252,,831.770
2021-01-04 09:00:00,2021-01-04 10:00:00,20.484,197.791,308.589,110.798,177.307,,814.969
2021-01-04 10:00:00,2021-01-04 11:00:00,7.761,152.366,265.435,113.069,144.605,,683.236
2021-01-04 11:00:00,2021-01-04 12:00:00,4.631,106.185,240.019,133.834,101.554,,586.223
2021-01-04 12:00:00,2021-01-04 13:00:00,3.309,165.561,254.202,88.641,162.252,,673.965
2021-01-04 13:00:00,2021-01-04 14:00:00,0.615,137.782,189.72,51.938,137.167,,517.222
2021-01-04 14:00:00,2021-01-04 15:00:00,-3.313,113.935,148.558,34.623,117.248,,411.051
2021-01-04 15:00:00,2021-01-04 16:00:00,-5.236,81.761,100.95,19.189,86.997,,283.661
2021-01-04 16:00:00,2021-01-04 17:00:00,-3.895,147.008,160.714,13.706,150.903,,468.436
2021-01-04 17:00:00,2021-01-04 18:00:00,-3.752,212.555,227.195,14.64,216.307,,666.945
2021-01-04 18:00:00,2021-01-04 19:00:00,-2.838,230.96,255.312,24.352,233.798,,741.584
2021-01-04 19:00:00,2021-01-04 20:00:00,-3.718,251.17,283.573,32.403,254.888,,818.316
2021-01-04 20:00:00,2021-01-04 21:00:00,-3.495,315.883,351.439,35.556,319.378,,1018.761
2021-01-04 21:00:00,2021-01-04 22:00:00,-4.211,510.018,533.876,23.858,514.229,,1577.770
2021-01-04 22:00:00,2021-01-04 23:00:00,-3.788,757.193,773.383,16.19,760.981,,2303.959
2021-01-04 23:00:00,2021-01-05 00:00:00,-3.826,911.733,921.345,9.612,915.559,,2754.423
2021-01-05 00:00:00,2021-01-05 01:00:00,-3.678,1219.506,1227.901,8.395,1223.184,,3675.308
2021-01-05 01:00:00,2021-01-05 02:00:00,-3.301,1381.224,1392.259,11.035,1384.525,,4165.742
2021-01-05 02:00:00,2021-01-05 03:00:00,-3.854,1288.996,1312.72,23.724,1292.85,,3914.436
2021-01-05 03:00:00,2021-01-05 04:00:00,-3.771,1298.922,1341.507,42.585,1302.693,,3981.936
2021-01-05 04:00:00,2021-01-05 05:00:00,-4.287,1387.216,1440.32,53.104,1391.503,,4267.856
2021-01-05 05:00:00,2021-01-05 06:00:00,-4.455,1266.595,1320.125,53.53,1271.05,,3906.845
2021-01-05 06:00:00,2021-01-05 07:00:00,-4.187,1203.742,1244.313,40.571,1207.929,,3692.368
2021-01-05 07:00:00,2021-01-05 08:00:00,-3.97,1047.416,1077.926,30.51,1051.386,,3203.268
2021-01-05 08:00:00,2021-01-05 09:00:00,-4.19,765.693,777.396,11.703,769.883,,2320.485
2021-01-05 09:00:00,2021-01-05 10:00:00,-4.398,640.213,659.433,19.22,644.611,,1959.079
2021-01-05 10:00:00,2021-01-05 11:00:00,-3.65,454.035,470.572,16.537,457.685,,1395.179
2021-01-05 11:00:00,2021-01-05 12:00:00,-2.743,411.914,429.324,17.41,414.657,,1270.562
2021-01-05 12:00:00,2021-01-05 13:00:00,-1.832,411.509,423.597,12.088,413.341,,1258.703
2021-01-05 13:00:00,2021-01-05 14:00:00,-2.666,447.89,471.568,23.678,450.556,,1391.026
2021-01-05 14:00:00,2021-01-05 15:00:00,2.305,475.738,524.723,48.985,473.433,,1525.184
2021-01-05 15:00:00,2021-01-05 16:00:00,21.578,474.356,536.27,61.914,452.778,,1546.896
2021-01-05 16:00:00,2021-01-05 17:00:00,50.921,574.665,654.253,79.588,523.744,,1883.171
2021-01-05 17:00:00,2021-01-05 18:00:00,84.518,705.48,790.826,85.346,620.962,,2287.132
2021-01-05 18:00:00,2021-01-05 19:00:00,82.469,784.168,869.596,85.428,701.699,,2523.360
2021-01-05 19:00:00,2021-01-05 20:00:00,83.052,734.523,859.73,125.207,651.471,,2453.983
2021-01-05 20:00:00,2021-01-05 21:00:00,75.508,691.534,824.673,133.139,616.026,,2340.880
2021-01-05 21:00:00,2021-01-05 22:00:00,73.517,608.374,745.176,136.802,534.857,,2098.726
2021-01-05 22:00:00,2021-01-05 23:00:00,77.802,548.138,671.437,123.299,470.336,,1891.012
2021-01-05 23:00:00,2021-01-06 00:00:00,105.96,520.389,675.212,154.823,414.429,,1870.813
2021-01-06 00:00:00,2021-01-06 01:00:00,126.386,552.631,715.39,162.759,426.245,,1983.411
2021-01-06 01:00:00,2021-01-06 02:00:00,158.05,592.482,740.645,148.163,434.432,,2073.772
2021-01-06 02:00:00,2021-01-06 03:00:00,176.183,664.381,825.638,161.257,488.198,,2315.657
2021-01-06 03:00:00,2021-01-06 04:00:00,202.222,727.232,892.618,165.386,525.01,,2512.468
2021-01-06 04:00:00,2021-01-06 05:00:00,231.958,739.832,873.325,133.493,507.874,,2486.482
2021-01-06 05:00:00,2021-01-06 06:00:00,263.464,711.491,857.281,145.79,448.027,,2426.053
2021-01-06 06:00:00,2021-01-06 07:00:00,276.983,664.07,847.871,183.801,387.087,,2359.812
2021-01-06 07:00:00,2021-01-06 08:00:00,295.195,672.469,852.518,180.049,377.274,,2377.505
2021-01-06 08:00:00,2021-01-06 09:00:00,310.426,752.669,944.929,192.26,442.243,,2642.527
2021-01-06 09:00:00,2021-01-06 10:00:00,324.423,757.27,930.935,173.665,432.847,,2619.14
2021-01-06 10:00:00,2021-01-06 11:00:00,342.044,764.567,932.832,168.265,422.523,,2630.231
2021-01-06 11:00:00,2021-01-06 12:00:00,395.903,875.311,1063.901,188.59,479.408,,3003.113
2021-01-06 12:00:00,2021-01-06 13:00:00,409.375,999.203,1201.157,201.954,589.828,,3401.517
2021-01-06 13:00:00,2021-01-06 14:00:00,431.099,1072.017,1285.527,213.51,640.918,,3643.071
2021-01-06 14:00:00,2021-01-06 15:00:00,442.36,1059.504,1265.803,206.299,617.144,,3591.11
2021-01-06 15:00:00,2021-01-06 16:00:00,510.817,1106.543,1292.278,185.735,595.726,,3691.099
2021-01-06 16:00:00,2021-01-06 17:00:00,514.159,1241.643,1397.82,156.177,727.484,,4037.283
2021-01-06 17:00:00,2021-01-06 18:00:00,492.422,1273.324,1383.862,110.538,780.902,,4041.048
2021-01-06 18:00:00,2021-01-06 19:00:00,531.406,1518.04,1608.705,90.665,986.634,,4735.45
2021-01-06 19:00:00,2021-01-06 20:00:00,632.476,1769.114,1871.599,102.485,1136.638,,5512.312
2021-01-06 20:00:00,2021-01-06 21:00:00,640.717,2068.407,2201.132,132.725,1427.69,,6470.671
2021-01-06 21:00:00,2021-01-06 22:00:00,616.807,2369.167,2505.371,136.204,1752.36,,7379.909
2021-01-06 22:00:00,2021-01-06 23:00:00,544.766,2645.509,2779.68,134.171,2100.743,,8204.869
2021-01-06 23:00:00,2021-01-07 00:00:00,509.485,2684.313,2845.065,160.752,2174.828,,8374.443
2021-01-07 00:00:00,2021-01-07 01:00:00,502.058,2528.645,2707.602,178.957,2026.587,,7943.849
2021-01-07 01:00:00,2021-01-07 02:00:00,497.037,2237.403,2407.259,169.856,1740.366,,7051.921
2021-01-07 02:00:00,2021-01-07 03:00:00,494.554,2162.122,2289.904,127.782,1667.568,,6741.930
2021-01-07 03:00:00,2021-01-07 04:00:00,504.774,2304.451,2442.772,138.321,1799.677,,7189.995
2021-01-07 04:00:00,2021-01-07 05:00:00,520.14,2302.454,2460.576,158.122,1782.314,,7223.606
2021-01-07 05:00:00,2021-01-07 06:00:00,544.333,2237.143,2415.794,178.651,1692.81,,7068.731
2021-01-07 06:00:00,2021-01-07 07:00:00,520.639,2192.576,2374.723,182.147,1671.937,,6942.022
2021-01-07 07:00:00,2021-01-07 08:00:00,454.0,2248.389,2412.034,163.645,1794.389,,7072.457
2021-01-07 08:00:00,2021-01-07 09:00:00,420.358,2233.136,2358.327,125.191,1812.778,,6949.790
2021-01-07 09:00:00,2021-01-07 10:00:00,358.775,2014.368,2060.699,46.331,1655.593,,6135.766
2021-01-07 10:00:00,2021-01-07 11:00:00,324.157,1817.406,1847.277,29.871,1493.249,,5511.960
2021-01-07 11:00:00,2021-01-07 12:00:00,266.192,1716.082,1743.877,27.795,1449.89,,5203.836
2021-01-07 12:00:00,2021-01-07 13:00:00,259.649,1815.387,1837.649,22.262,1555.738,,5490.685
2021-01-07 13:00:00,2021-01-07 14:00:00,270.394,2065.714,2095.511,29.797,1795.32,,6256.736
2021-01-07 14:00:00,2021-01-07 15:00:00,247.408,2073.433,2100.977,27.544,1826.025,,6275.387
2021-01-07 15:00:00,2021-01-07 16:00:00,248.638,2243.459,2266.146,22.687,1994.821,,6775.751
2021-01-07 16:00:00,2021-01-07 17:00:00,289.174,2725.536,2745.156,19.62,2436.362,,8215.848
2021-01-07 17:00:00,2021-01-07 18:00:00,327.569,3007.911,3024.268,16.357,2680.342,,9056.447
2021-01-07 18:00:00,2021-01-07 19:00:00,339.789,3051.72,3061.712,9.992,2711.931,,9175.144
2021-01-07 19:00:00,2021-01-07 20:00:00,311.395,3176.989,3177.598,0.609,2865.594,,9532.185
2021-01-07 20:00:00,2021-01-07 21:00:00,285.396,3138.046,3141.025,2.979,2852.65,,9420.096
2021-01-07 21:00:00,2021-01-07 22:00:00,291.62,3080.153,3078.028,-2.125,2788.533,,9236.209
2021-01-07 22:00:00,2021-01-07 23:00:00,281.705,2891.639,2889.373,-2.266,2609.934,,8670.385
2021-01-07 23:00:00,2021-01-08 00:00:00,257.181,2542.745,2540.743,-2.002,2285.564,,7624.231
2021-01-08 00:00:00,2021-01-08 01:00:00,187.834,2480.032,2484.02,3.988,2292.198,,7448.072
2021-01-08 01:00:00,2021-01-08 02:00:00,179.783,2789.862,2789.575,-0.287,2610.079,,8369.012
2021-01-08 02:00:00,2021-01-08 03:00:00,151.094,2813.538,2838.543,25.005,2662.444,,8490.624
2021-01-08 03:00:00,2021-01-08 04:00:00,112.989,2808.269,2818.697,10.428,2695.28,,8445.663
2021-01-08 04:00:00,2021-01-08 05:00:00,127.126,2637.437,2636.142,-1.295,2510.311,,7909.721
2021-01-08 05:00:00,2021-01-08 06:00:00,107.585,2568.802,2568.099,-0.703,2461.217,,7705.000
2021-01-08 06:00:00,2021-01-08 07:00:00,112.959,2773.401,2822.886,49.485,2660.442,,8419.173
2021-01-08 07:00:00,2021-01-08 08:00:00,116.724,2675.905,2713.486,37.581,2559.181,,8102.877
2021-01-08 08:00:00,2021-01-08 09:00:00,96.363,2495.194,2543.191,47.997,2398.831,,7581.576
2021-01-08 09:00:00,2021-01-08 10:00:00,88.913,2296.121,2418.286,122.165,2207.208,,7132.693
2021-01-08 10:00:00,2021-01-08 11:00:00,61.557,2295.2,2403.73,108.53,2233.643,,7102.66
2021-01-08 11:00:00,2021-01-08 12:00:00,69.427,2444.04,2559.995,115.955,2374.613,,7564.03
2021-01-08 12:00:00,2021-01-08 13:00:00,75.369,2827.189,2913.571,86.382,2751.82,,8654.331
2021-01-08 13:00:00,2021-01-08 14:00:00,77.46,3019.755,3167.451,147.696,2942.295,,9354.657
2021-01-08 14:00:00,2021-01-08 15:00:00,142.524,3236.118,3398.619,162.501,3093.594,,10033.356
2021-01-08 15:00:00,2021-01-08 16:00:00,172.149,3480.931,3658.559,177.628,3308.782,,10798.049
2021-01-08 16:00:00,2021-01-08 17:00:00,242.684,3611.371,3807.499,196.128,3368.687,,11226.369
2021-01-08 17:00:00,2021-01-08 18:00:00,300.742,3553.261,3745.009,191.748,3252.519,,11043.279
2021-01-08 18:00:00,2021-01-08 19:00:00,329.434,3469.369,3654.938,185.569,3139.935,,10779.245
2021-01-08 19:00:00,2021-01-08 20:00:00,346.17,2911.405,3069.746,158.341,2565.235,,9050.897
2021-01-08 20:00:00,2021-01-08 21:00:00,354.431,2376.644,2573.165,196.521,2022.213,,7522.974
2021-01-08 21:00:00,2021-01-08 22:00:00,409.42,2380.133,2564.045,183.912,1970.713,,7508.223
2021-01-08 22:00:00,2021-01-08 23:00:00,444.588,2341.275,2577.008,235.733,1896.687,,7495.291
2021-01-08 23:00:00,2021-01-09 00:00:00,468.692,2325.284,2582.181,256.897,1856.592,,7489.646
2021-01-09 00:00:00,2021-01-09 01:00:00,495.623,2328.008,2548.036,220.028,1832.385,,7424.080
2021-01-09 01:00:00,2021-01-09 02:00:00,474.201,2242.379,2418.028,175.649,1768.178,,7078.435
2021-01-09 02:00:00,2021-01-09 03:00:00,492.18,2325.586,2488.632,163.046,1833.406,,7302.85
2021-01-09 03:00:00,2021-01-09 04:00:00,504.066,2291.739,2441.888,150.149,1787.673,,7175.515
2021-01-09 04:00:00,2021-01-09 05:00:00,524.414,2220.293,2407.241,186.948,1695.879,,7034.775
2021-01-09 05:00:00,2021-01-09 06:00:00,526.781,2135.668,2311.202,175.534,1608.887,,6758.072
2021-01-09 06:00:00,2021-01-09 07:00:00,507.224,2090.731,2250.996,160.265,1583.507,,6592.723
2021-01-09 07:00:00,2021-01-09 08:00:00,541.157,1895.875,2097.108,201.233,1354.718,,6090.091
2021-01-09 08:00:00,2021-01-09 09:00:00,558.407,1710.424,1919.943,209.519,1152.017,,5550.310
2021-01-09 09:00:00,2021-01-09 10:00:00,564.261,1452.147,1642.724,190.577,887.886,,4737.595
2021-01-09 10:00:00,2021-01-09 11:00:00,567.288,1311.152,1489.791,178.639,743.864,,4290.734
2021-01-09 11:00:00,2021-01-09 12:00:00,549.449,1191.895,1331.137,139.242,642.446,,3854.169
2021-01-09 12:00:00,2021-01-09 13:00:00,555.791,1123.503,1247.321,123.818,567.712,,3618.145
2021-01-09 13:00:00,2021-01-09 14:00:00,573.247,1087.994,1214.695,126.701,514.747,,3517.384
2021-01-09 14:00:00,2021-01-09 15:00:00,637.55,1172.393,1311.916,139.523,534.843,,3796.225
2021-01-09 15:00:00,2021-01-09 16:00:00,669.761,1275.331,1442.578,167.247,605.57,,4160.487
2021-01-09 16:00:00,2021-01-09 17:00:00,640.364,1364.555,1512.464,147.909,724.191,,4389.483
2021-01-09 17:00:00,2021-01-09 18:00:00,743.422,1504.329,1657.969,153.64,760.907,,4820.267
2021-01-09 18:00:00,2021-01-09 19:00:00,788.669,1551.753,1708.103,156.35,763.084,,4967.959
2021-01-09 19:00:00,2021-01-09 20:00:00,777.441,1601.762,1784.476,182.714,824.321,,5170.714
2021-01-09 20:00:00,2021-01-09 21:00:00,813.078,1658.646,1838.747,180.101,845.568,,5336.140
2021-01-09 21:00:00,2021-01-09 22:00:00,861.071,1689.626,1898.79,209.164,828.555,,5487.206
2021-01-09 22:00:00,2021-01-09 23:00:00,805.417,1737.046,1989.61,252.564,931.629,,5716.266
2021-01-09 23:00:00,2021-01-10 00:00:00,787.222,1791.96,2042.659,250.699,1004.738,,5877.278
2021-01-10 00:00:00,2021-01-10 01:00:00,763.138,1801.202,2021.317,220.115,1038.064,,5843.836
2021-01-10 01:00:00,2021-01-10 02:00:00,667.142,1709.412,1941.43,232.018,1042.27,,5592.272
2021-01-10 02:00:00,2021-01-10 03:00:00,625.959,1639.407,1874.809,235.402,1013.448,,5389.025
2021-01-10 03:00:00,2021-01-10 04:00:00,617.809,1591.596,1825.514,233.918,973.787,,5242.624
2021-01-10 04:00:00,2021-01-10 05:00:00,706.384,1697.214,1928.055,230.841,990.83,,5553.324
2021-01-10 05:00:00,2021-01-10 06:00:00,674.289,1641.892,1882.342,240.45,967.603,,5406.576
2021-01-10 06:00:00,2021-01-10 07:00:00,665.432,1600.524,1831.271,230.747,935.092,,5263.066
2021-01-10 07:00:00,2021-01-10 08:00:00,650.833,1458.567,1676.475,217.908,807.734,,4811.517
2021-01-10 08:00:00,2021-01-10 09:00:00,513.031,1334.078,1512.06,177.982,821.047,,4358.198
2021-01-10 09:00:00,2021-01-10 10:00:00,408.046,1121.475,1237.417,115.942,713.429,,3596.309
2021-01-10 10:00:00,2021-01-10 11:00:00,305.192,852.043,949.67,97.627,546.851,,2751.383
2021-01-10 11:00:00,2021-01-10 12:00:00,174.8,718.973,773.489,54.516,544.173,,2265.951
2021-01-10 12:00:00,2021-01-10 13:00:00,99.313,616.672,648.014,31.342,517.359,,1912.700
2021-01-10 13:00:00,2021-01-10 14:00:00,72.438,523.408,538.753,15.345,450.97,,1600.914
2021-01-10 14:00:00,2021-01-10 15:00:00,56.285,577.011,593.985,16.974,520.726,,1764.981
2021-01-10 15:00:00,2021-01-10 16:00:00,33.208,452.174,457.3,5.126,418.966,,1366.774
2021-01-10 16:00:00,2021-01-10 17:00:00,39.247,422.242,422.835,0.593,382.995,,1267.912
2021-01-10 17:00:00,2021-01-10 18:00:00,90.063,493.991,496.774,2.783,403.928,,1487.539
2021-01-10 18:00:00,2021-01-10 19:00:00,138.375,456.198,461.621,5.423,317.823,,1379.440
2021-01-10 19:00:00,2021-01-10 20:00:00,95.558,411.347,424.634,13.287,315.789,,1260.615
2021-01-10 20:00:00,2021-01-10 21:00:00,54.532,498.682,513.569,14.887,444.15,,1525.82
2021-01-10 21:00:00,2021-01-10 22:00:00,31.986,428.577,439.927,11.35,396.591,,1308.431
2021-01-10 22:00:00,2021-01-10 23:00:00,29.135,369.865,389.715,19.85,340.73,,1149.295
2021-01-10 23:00:00,2021-01-11 00:00:00,27.176,355.486,379.645,24.159,328.31,,1114.776
2021-01-11 00:00:00,2021-01-11 01:00:00,16.383,408.623,453.269,44.646,392.24,,1315.161
2021-01-11 01:00:00,2021-01-11 02:00:00,23.035,459.569,504.67,45.101,436.534,,1468.909
2021-01-11 02:00:00,2021-01-11 03:00:00,46.549,721.21,771.985,50.775,674.661,,2265.18
2021-01-11 03:00:00,2021-01-11 04:00:00,73.071,925.679,947.28,21.601,852.608,,2820.239
2021-01-11 04:00:00,2021-01-11 05:00:00,78.861,963.159,977.907,14.748,884.298,,2918.973
2021-01-11 05:00:00,2021-01-11 06:00:00,104.715,865.466,894.639,29.173,760.751,,2654.744
2021-01-11 06:00:00,2021-01-11 07:00:00,104.11,811.427,841.539,30.112,707.317,,2494.505
2021-01-11 07:00:00,2021-01-11 08:00:00,120.534,1008.665,1035.301,26.636,888.131,,3079.267
2021-01-11 08:00:00,2021-01-11 09:00:00,134.238,1119.925,1146.033,26.108,985.687,,3411.991
2021-01-11 09:00:00,2021-01-11 10:00:00,179.73,1293.744,1318.586,24.842,1114.014,,3930.916
2021-01-11 10:00:00,2021-01-11 11:00:00,145.845,1521.316,1543.117,21.801,1375.471,,4607.550
2021-01-11 11:00:00,2021-01-11 12:00:00,112.744,1774.07,1796.689,22.619,1661.326,,5367.448
2021-01-11 12:00:00,2021-01-11 13:00:00,137.955,2404.574,2434.409,29.835,2266.619,,7273.392
2021-01-11 13:00:00,2021-01-11 14:00:00,182.282,3096.359,3116.666,20.307,2914.077,,9329.691
2021-01-11 14:00:00,2021-01-11 15:00:00,258.911,3355.364,3380.691,25.327,3096.453,,10116.746
2021-01-11 15:00:00,2021-01-11 16:00:00,235.082,3529.046,3567.957,38.911,3293.964,,10664.960
2021-01-11 16:00:00,2021-01-11 17:00:00,216.421,3973.707,4023.841,50.134,3757.286,,12021.389
2021-01-11 17:00:00,2021-01-11 18:00:00,250.147,4277.75,4343.04,65.29,4027.603,,12963.83
